MAT-0   
MAT-1   4.5954307630 1.4233635617
MAT-2   0.3617382603 0.7559270436
MAT-3   5.5259126317 0.8004307690
MAT-4   0.7804551013 1.4594037857
MAT-5   4.8745753236 3.5186488976
MAT-6   0.7339310078 1.1546976324
MAT-7   4.9676235105 1.7307963247
MAT-8   0.5013105406 0.5425595016
MAT-9   0.3152141669 0.8628933867
MAT-10   0.4082623538 1.0361407578
MAT-11   0.3152141669 0.4744545206
MAT-12   1.0595996619 0.7559270436
MAT-13   0.6408828210 1.2273898826
MAT-14   5.3863403514 0.9934827724
MAT-15   5.3398162580 0.9758976170
MAT-16   3.3392802402 4.8759380749
MAT-17   4.9676235105 1.5458325789
MAT-18   3.6184248008 4.9113227050
MAT-19   4.1301898286 3.0493695243
MAT-20   0.5478346341 1.0444633072
MAT-21   4.9676235105 1.9650578683
MAT-22   0.6874069144 0.5884884053
MAT-23   5.7585330989 1.5402215529
MAT-24   5.5724367251 0.7784969850
MAT-25   0.6874069144 0.5096459088
MAT-26   0.7339310078 0.9934827724
MAT-27   2.1296538109 4.5049162198
MAT-28   0.5943587275 0.3721927475
MAT-29   6.7355390610 3.4440400926
MAT-30   5.1071957908 0.9758976170
MAT-31   5.2002439777 0.6310835077
MAT-32   0.4082623538 0.8004307690
MAT-33   0.8735032881 1.5954440553
MAT-34   3.8510452680 3.6348390215
MAT-35   0.9200273816 0.9758976170
MAT-36   0.9200273816 0.9758976170
MAT-37   0.9200273816 0.2942442027
MAT-38   4.6884789499 2.9039383582
MAT-39   0.5478346341 0.8628933867
MAT-120   4.2232380155 2.4335258607
MAT-121   0.1756418866 0.5425595016
MAT-122   0.5943587275 0.6310835077
MAT-123   5.2002439777 1.0444633072
MAT-124   0.4082623538 0.8004307690
MAT-125   5.0141476039 1.5175700021
MAT-126   0.5478346341 0.4744545206
MAT-127   3.8510452680 4.3003968899
MAT-128   5.3398162580 1.6644965682
MAT-129   0.8269791947 0.9579897173
MAT-130   1.1991719422 1.2621670154
MAT-131   5.7585330989 1.2273898826
MAT-132   0.8735032881 0.8528007192
MAT-133   3.0136115862 4.6337623373
MAT-134   0.5478346341 0.9579897173
MAT-135   4.8745753236 3.0719996643
MAT-136   5.2467680711 2.0512852139
MAT-137   0.5943587275 0.7559270436
MAT-138   0.8735032881 1.0361407578
MAT-139   0.3152141669 0.8111752869
