MAT-0   
MAT-1   82.3127406258 25.4950975680
MAT-2   6.4794072925 13.5400640077
MAT-3   98.9794072925 14.3372087784
MAT-4   13.9794072925 26.1406452356
MAT-5   87.3127406258 63.0255680040
MAT-6   13.1460739591 20.6827894100
MAT-7   88.9794072925 31.0017920629
MAT-8   8.9794072925 9.7182531581
MAT-9   5.6460739591 15.4560308258
MAT-10   7.3127406258 18.5592145428
MAT-11   5.6460739591 8.4983658560
MAT-12   18.9794072925 13.5400640077
MAT-13   11.4794072925 21.9848432638
MAT-14   96.4794072925 17.7951304201
MAT-15   95.6460739591 17.4801474695
MAT-16   59.8127406258 87.3371500438
MAT-17   88.9794072925 27.6887462097
MAT-18   64.8127406258 87.9709548026
MAT-19   73.9794072925 54.6198986939
MAT-20   9.8127406258 18.7082869339
MAT-21   88.9794072925 35.1978534699
MAT-22   12.3127406258 10.5409255339
MAT-23   103.1460739591 27.5882422621
MAT-24   99.8127406258 13.9443337756
MAT-25   12.3127406258 9.1287092918
MAT-26   13.1460739591 17.7951304201
MAT-27   38.1460739591 80.6914562461
MAT-28   10.6460739591 6.6666666667
MAT-29   120.6460739591 61.6891850777
MAT-30   91.4794072925 17.4801474695
MAT-31   93.1460739591 11.3038833052
MAT-32   7.3127406258 14.3372087784
MAT-33   15.6460739591 28.5773803325
MAT-34   68.9794072925 65.1067499487
MAT-35   16.4794072925 17.4801474695
MAT-36   16.4794072925 17.4801474695
MAT-37   16.4794072925 5.2704627669
MAT-38   83.9794072925 52.0149551144
MAT-39   9.8127406258 15.4560308258
MAT-120   75.6460739591 43.5889894354
MAT-121   3.1460739591 9.7182531581
MAT-122   10.6460739591 11.3038833052
MAT-123   93.1460739591 18.7082869339
MAT-124   7.3127406258 14.3372087784
MAT-125   89.8127406258 27.1825107172
MAT-126   9.8127406258 8.4983658560
MAT-127   68.9794072925 77.0281333886
MAT-128   95.6460739591 29.8142397000
MAT-129   14.8127406258 17.1593835683
MAT-130   21.4794072925 22.6077666104
MAT-131   103.1460739591 21.9848432638
MAT-132   15.6460739591 15.2752523165
MAT-133   53.9794072925 82.9993306533
MAT-134   9.8127406258 17.1593835683
MAT-135   87.3127406258 55.0252467307
MAT-136   93.9794072925 36.7423461417
MAT-137   10.6460739591 13.5400640077
MAT-138   15.6460739591 18.5592145428
MAT-139   5.6460739591 14.5296631451
MAT-140   5.6460739591 14.5296631451
MAT-141   6.4794072925 6.6666666667
MAT-142   7.3127406258 8.1649658093
MAT-143   10.6460739591 11.3038833052
MAT-144   64.8127406258 66.7915496984
MAT-145   81.4794072925 61.8241233033
MAT-146   12.3127406258 9.1287092918
MAT-147   101.4794072925 17.1593835683
MAT-148   8.9794072925 16.9967317120
MAT-149   27.3127406258 61.5990620419
MAT-150   4.8127406258 9.7182531581
MAT-151   11.4794072925 23.8047614285
MAT-152   92.3127406258 20.6827894100
MAT-153   3.1460739591 16.1589328581
MAT-154   92.3127406258 12.2474487139
MAT-155   15.6460739591 6.2360956446
MAT-156   98.9794072925 12.2474487139
MAT-157   60.6460739591 79.1622805803
MAT-158   9.8127406258 12.4721912892
MAT-159   10.6460739591 13.5400640077
MAT-160   8.1460739591 0.0000000000
MAT-161   8.1460739591 0.0000000000
MAT-162   9.8127406258 8.4983658560
MAT-163   9.8127406258 15.4560308258
MAT-164   8.9794072925 8.1649658093
MAT-165   8.9794072925 8.1649658093
MAT-166   88.1460739591 9.7182531581
MAT-167   18.1460739591 16.3299316186
MAT-168   18.9794072925 6.6666666667
MAT-169   15.6460739591 20.6827894100
MAT-170   8.1460739591 16.6666666667
MAT-171   8.1460739591 16.6666666667
MAT-172   103.1460739591 36.6666666667
MAT-173   7.3127406258 14.3372087784
MAT-174   8.9794072925 8.1649658093
MAT-175   12.3127406258 9.1287092918
MAT-176   11.4794072925 13.3333333333
MAT-177   95.6460739591 12.9099444874
MAT-178   9.8127406258 20.8166599947
MAT-179   85.6460739591 87.9709548026
MAT-180   11.4794072925 6.2360956446
MAT-181   73.9794072925 77.7102881792
MAT-182   12.3127406258 15.8113883008
MAT-183   65.6460739591 72.5335171566
MAT-184   68.1460739591 62.9373586283
MAT-185   8.1460739591 10.5409255339
MAT-186   10.6460739591 16.3299316186
MAT-187   8.1460739591 11.7851130198
MAT-188   88.1460739591 39.9304951690
MAT-189   8.9794072925 12.2474487139
MAT-190   11.4794072925 8.1649658093
MAT-191   92.3127406258 9.7182531581
MAT-192   13.1460739591 16.1589328581
MAT-193   8.9794072925 8.1649658093
