MAT-0   
MAT-1   0.10609 0.367650
MAT-2   -0.00110 0.003458
MAT-3   0.04264 0.084258
MAT-4   -0.00095 0.003999
MAT-5   0.02143 0.345890
MAT-6   -nan nan
MAT-7   0.06438 0.106720
MAT-8   -0.00039 0.002042
MAT-9   0.00061 0.001438
MAT-10   -0.00043 0.003476
MAT-11   0.00200 0.007290
MAT-12   0.00011 0.001755
MAT-13   0.22496 0.889403
MAT-14   0.55470 1.058816
MAT-15   0.11335 0.341374
MAT-16   0.01431 0.029259
MAT-17   0.13352 0.230202
MAT-18   0.12606 0.246631
MAT-19   -nan nan
MAT-20   -nan nan
MAT-21   -0.10792 1.155490
MAT-22   -0.00073 0.006127
MAT-23   -nan nan
MAT-24   0.67757 1.930238
MAT-25   0.00475 0.019851
MAT-26   0.00136 0.003698
MAT-27   0.01620 0.061756
MAT-28   -0.00187 0.003863
MAT-29   -1.25819 6.110490
MAT-30   -nan nan
MAT-31   0.45608 1.730120
MAT-32   -0.00074 0.003151
MAT-33   -nan nan
MAT-34   0.08186 0.182239
MAT-35   0.00100 0.003460
MAT-36   0.00100 0.003460
MAT-37   0.00279 0.028377
MAT-38   0.16722 0.968432
MAT-39   0.01952 0.077609
MAT-120   -nan nan
MAT-121   0.00043 0.002840
MAT-122   0.01006 0.037590
MAT-123   -nan nan
MAT-124   0.00021 0.002556
MAT-125   -nan nan
MAT-126   0.02003 0.079763
MAT-127   0.09567 0.359545
MAT-128   0.29859 0.506781
MAT-129   -0.00343 0.011244
MAT-130   0.00243 0.009463
MAT-131   0.23341 1.086885
MAT-132   -0.00111 0.012743
MAT-133   0.16197 0.504808
MAT-134   -0.01132 0.086203
MAT-135   0.35045 0.711008
MAT-136   0.50125 0.836853
MAT-137   -0.00103 0.004908
MAT-138   0.07436 0.277096
MAT-139   -nan nan
MAT-140   -nan nan
MAT-141   0.00008 0.001746
MAT-142   0.00070 0.004918
MAT-143   -0.00087 0.007806
MAT-144   0.02515 0.079815
MAT-145   0.65097 1.444581
MAT-146   0.00030 0.001374
MAT-147   0.51652 1.607538
MAT-148   0.00283 0.010660
MAT-149   0.00120 0.006798
MAT-150   -0.00091 0.002528
MAT-151   -nan nan
MAT-152   0.03576 0.160144
MAT-153   -nan nan
MAT-154   1.09786 3.092766
MAT-155   0.00096 0.011279
MAT-156   0.42953 0.895313
MAT-157   0.06222 0.121039
MAT-158   0.00026 0.001691
MAT-159   -0.00081 0.005269
MAT-160   0.00063 0.001122
MAT-161   0.00063 0.001122
MAT-162   0.00087 0.006121
MAT-163   -nan nan
MAT-164   0.08538 0.348863
MAT-165   0.08538 0.348863
MAT-166   0.02800 0.042518
MAT-167   0.02357 0.093433
