MAT-0   
MAT-1   1942.5445647914 571.4464985709
MAT-2   242.8180705989 303.4866662900
MAT-3   2316.1108272513 321.3538498473
MAT-4   410.9228887059 585.9157883371
MAT-5   2054.6144435293 1412.6535527191
MAT-6   392.2445755829 463.5835402280
MAT-7   2091.9710697753 694.8734154297
MAT-8   298.8530099679 217.8246905941
MAT-9   224.1397574759 346.4311000841
MAT-10   261.4963837219 415.9857846559
MAT-11   224.1397574759 190.4821661903
MAT-12   522.9927674438 303.4866662900
MAT-13   354.8879493369 492.7677437292
MAT-14   2260.0758878823 398.8596216603
MAT-15   2241.3975747593 391.7996014458
MAT-16   1438.2301104705 1957.5727629462
MAT-17   2091.9710697753 620.6148860261
MAT-18   1550.2999892085 1971.7788474391
MAT-19   1755.7614335614 1224.2490846614
MAT-20   317.5313230909 419.3270896148
MAT-21   2091.9710697753 788.9238340418
MAT-22   373.5662624599 236.2640492739
MAT-23   2409.5023928662 618.3621929809
MAT-24   2334.7891403743 312.5479590619
MAT-25   373.5662624599 204.6106686722
MAT-26   392.2445755829 398.8596216603
MAT-27   952.5939692727 1808.6163433373
MAT-28   336.2096362139 149.4265049840
MAT-29   2801.7469684491 1382.6998982212
MAT-30   2148.0060091443 391.7996014458
MAT-31   2185.3626353903 253.3649662566
MAT-32   261.4963837219 321.3538498473
MAT-33   448.2795149519 640.5327097017
MAT-34   1643.6915548235 1459.3011143558
MAT-35   466.9578280749 391.7996014458
MAT-36   466.9578280749 391.7996014458
MAT-37   466.9578280749 118.1320246369
MAT-38   1979.9011910374 1165.8619424468
MAT-39   317.5313230909 346.4311000841
MAT-120   1793.1180598074 977.0025520673
MAT-121   168.1048181069 217.8246905941
MAT-122   336.2096362139 253.3649662566
MAT-123   2185.3626353903 419.3270896148
MAT-124   261.4963837219 321.3538498473
MAT-125   2110.6493828983 609.2681359733
MAT-126   317.5313230909 190.4821661903
MAT-127   1643.6915548235 1726.5067136546
MAT-128   2241.3975747593 668.2556455687
MAT-129   429.6012018289 384.6100071438
MAT-130   579.0277068128 506.7299325131
MAT-131   2409.5023928662 492.7677437292
MAT-132   448.2795149519 342.3791349608
MAT-133   1307.4819186096 1860.3449843286
MAT-134   317.5313230909 384.6100071438
MAT-135   2054.6144435293 1233.3345457279
MAT-136   2204.0409485133 823.5420553308
MAT-137   336.2096362139 303.4866662900
MAT-138   448.2795149519 415.9857846559
MAT-139   224.1397574759 325.6675173558
MAT-140   224.1397574759 325.6675173558
MAT-141   242.8180705989 149.4265049840
MAT-142   261.4963837219 183.0093456291
MAT-143   336.2096362139 253.3649662566
MAT-144   1550.2999892085 1497.0641750836
MAT-145   1923.8662516684 1385.7244003365
MAT-146   373.5662624599 204.6106686722
MAT-147   2372.1457666202 384.6100071438
MAT-148   298.8530099679 380.9643323806
MAT-149   709.7758986738 1380.6798826821
MAT-150   205.4614443529 217.8246905941
MAT-151   354.8879493369 533.5593453351
MAT-152   2166.6843222673 463.5835402280
MAT-153   168.1048181069 362.1859291874
MAT-154   2166.6843222673 274.5140184436
MAT-155   448.2795149519 139.7756965383
MAT-156   2316.1108272513 274.5140184436
MAT-157   1456.9084235935 1774.3414370499
MAT-158   317.5313230909 279.5513930765
MAT-159   336.2096362139 303.4866662900
MAT-160   280.1746968449 0.0000000000
MAT-161   280.1746968449 0.0000000000
MAT-162   317.5313230909 190.4821661903
MAT-163   317.5313230909 346.4311000841
MAT-164   298.8530099679 183.0093456291
MAT-165   298.8530099679 183.0093456291
MAT-166   2073.2927566523 217.8246905941
MAT-167   504.3144543208 366.0186912581
MAT-168   522.9927674438 149.4265049840
MAT-169   448.2795149519 463.5835402280
MAT-170   280.1746968449 373.5662624599
MAT-171   280.1746968449 373.5662624599
MAT-172   2409.5023928662 821.8457774117
MAT-173   261.4963837219 321.3538498473
MAT-174   298.8530099679 183.0093456291
MAT-175   373.5662624599 204.6106686722
MAT-176   354.8879493369 298.8530099679
MAT-177   2241.3975747593 289.3631826424
MAT-178   317.5313230909 466.5841122662
MAT-179   2017.2578172834 1971.7788474391
MAT-180   354.8879493369 139.7756965383
MAT-181   1755.7614335614 1741.7965145863
MAT-182   373.5662624599 354.3960739108
MAT-183   1568.9783023315 1625.7644944363
MAT-184   1625.0132417005 1410.6764299130
MAT-185   280.1746968449 236.2640492739
MAT-186   336.2096362139 366.0186912581
MAT-187   280.1746968449 264.1512374079
MAT-188   2073.2927566523 895.0011503082
MAT-189   298.8530099679 274.5140184436
MAT-190   354.8879493369 183.0093456291
MAT-191   2166.6843222673 217.8246905941
MAT-192   392.2445755829 362.1859291874
MAT-193   298.8530099679 183.0093456291
MAT-194   392.2445755829 247.7958253830
MAT-195   2148.0060091443 1331.2803071077
MAT-196   448.2795149519 692.8622001682
MAT-197   280.1746968449 613.8320060165
MAT-198   317.5313230909 466.5841122662
MAT-199   1961.2228779144 289.3631826424
MAT-200   466.9578280749 334.1278227843
MAT-201   280.1746968449 312.5479590619
MAT-202   317.5313230909 303.4866662900
MAT-203   317.5313230909 303.4866662900
MAT-204   1606.3349285775 1928.1230990840
MAT-205   466.9578280749 264.1512374079
MAT-206   317.5313230909 303.4866662900
MAT-207   298.8530099679 274.5140184436
MAT-208   2316.1108272513 463.5835402280
MAT-209   392.2445755829 362.1859291874
MAT-210   392.2445755829 362.1859291874
MAT-211   392.2445755829 492.7677437292
MAT-212   1849.1529991764 1317.5825592562
MAT-213   466.9578280749 236.2640492739
MAT-214   1643.6915548235 1578.7318641003
MAT-215   336.2096362139 253.3649662566
MAT-216   336.2096362139 325.6675173558
MAT-217   448.2795149519 571.4464985709
MAT-218   2129.3276960213 247.7958253830
MAT-219   298.8530099679 183.0093456291
MAT-220   1718.4048073155 1395.7587413939
MAT-221   354.8879493369 595.3666527599
MAT-222   336.2096362139 149.4265049840
MAT-223   317.5313230909 346.4311000841
MAT-224   1307.4819186096 1387.7370730026
MAT-225   2017.2578172834 788.9238340418
MAT-226   2017.2578172834 752.7151618905
MAT-227   336.2096362139 303.4866662900
MAT-228   392.2445755829 380.9643323806
MAT-229   2035.9361304064 571.4464985709
MAT-230   298.8530099679 217.8246905941
MAT-231   298.8530099679 217.8246905941
MAT-232   1251.4469792406 1950.4309194994
MAT-233   2372.1457666202 253.3649662566
MAT-234   298.8530099679 398.8596216603
MAT-235   1288.8036054866 1808.6163433373
MAT-236   392.2445755829 342.3791349608
MAT-237   373.5662624599 541.3489448972
MAT-238   317.5313230909 303.4866662900
MAT-239   2185.3626353903 190.4821661903
MAT-240   280.1746968449 312.5479590619
MAT-241   2185.3626353903 190.4821661903
MAT-242   2054.6144435293 264.1512374079
MAT-243   2204.0409485133 303.4866662900
MAT-244   354.8879493369 342.3791349608
MAT-245   354.8879493369 342.3791349608
MAT-246   1681.0481810695 1498.9273546162
MAT-247   560.3493936898 1593.6881421903
MAT-248   392.2445755829 769.2200142876
MAT-249   1251.4469792406 1635.1793714784
MAT-250   392.2445755829 74.7132524920
MAT-251   1344.8385448556 1656.3778111085
MAT-252   336.2096362139 190.4821661903
MAT-253   1886.5096254224 741.5078587892
MAT-254   298.8530099679 274.5140184436
MAT-255   280.1746968449 312.5479590619
MAT-256   2110.6493828983 823.5420553308
MAT-257   336.2096362139 303.4866662900
MAT-258   1737.0831204384 1551.9868708390
MAT-259   298.8530099679 432.4342126621
MAT-260   373.5662624599 391.7996014458
MAT-261   1961.2228779144 1632.6170621923
MAT-262   1419.5517973476 1765.6687542384
MAT-263   877.8807167807 1236.7243859619
MAT-264   280.1746968449 289.3631826424
MAT-265   280.1746968449 289.3631826424
MAT-266   1382.1951711016 1891.5884681328
MAT-267   1681.0481810695 1517.4333314502
MAT-268   2091.9710697753 224.1397574759
MAT-269   2372.1457666202 303.4866662900
MAT-270   1475.5867367165 1887.8961193689
MAT-271   2316.1108272513 969.8344247866
MAT-272   2353.4674534973 778.2381419754
MAT-273   242.8180705989 224.1397574759
MAT-274   354.8879493369 247.7958253830
MAT-275   485.6361411978 520.3175950798
MAT-276   1737.0831204384 1793.8961540336
MAT-277   2260.0758878823 183.0093456291
MAT-278   1886.5096254224 1537.5326619208
MAT-279   224.1397574759 190.4821661903
MAT-280   130.7481918610 253.3649662566
MAT-281   2558.9288978502 840.3165280941
MAT-282   410.9228887059 509.4764563292
MAT-283   186.7831312299 204.6106686722
MAT-284   1419.5517973475 2047.4703034587
MAT-285   2260.0758878823 506.7299325131
MAT-286   2297.4325141283 190.4821661903
MAT-287   336.2096362139 279.5513930765
MAT-288   1176.7337267486 1758.5411096284
MAT-289   2166.6843222673 183.0093456290
MAT-290   541.6710805668 217.8246905941
MAT-291   261.4963837219 247.7958253830
MAT-292   933.9156561497 1283.2422526122
MAT-293   1176.7337267486 1862.5940421529
MAT-294   224.1397574759 190.4821661903
MAT-295   1120.6987873796 1779.8384141756
MAT-296   392.2445755829 478.3982378888
MAT-297   298.8530099679 183.0093456291
MAT-298   354.8879493369 506.7299325131
MAT-299   354.8879493369 492.7677437292
MAT-300   280.1746968449 264.1512374079
MAT-301   1438.2301104705 1928.8467332243
MAT-302   579.0277068128 342.3791349608
MAT-303   1550.2999892085 1914.3220782541
MAT-304   354.8879493369 321.3538498473
MAT-305   1774.4397466844 1818.6194030152
MAT-306   877.8807167807 1405.7214569989
MAT-307   410.9228887059 190.4821661903
MAT-308   336.2096362139 346.4311000841
MAT-309   2334.7891403743 514.9255573883
MAT-310   298.8530099679 183.0093456291
MAT-311   354.8879493369 362.1859291874
MAT-312   2017.2578172834 2211.9413285247
MAT-313   2035.9361304064 1668.1312729573
MAT-314   280.1746968449 264.1512374079
MAT-315   2091.9710697753 190.4821661903
MAT-316   280.1746968449 354.3960739108
MAT-317   803.1674642887 1142.8929971417
MAT-318   2110.6493828983 325.6675173558
MAT-319   1774.4397466844 1362.3649685608
MAT-320   2073.2927566523 1012.0819447901
MAT-321   2222.7192616363 1988.6921995078
MAT-322   2204.0409485133 346.4311000841
MAT-323   952.5939692727 1869.3249801209
MAT-324   261.4963837219 247.7958253830
MAT-325   205.4614443529 217.8246905941
MAT-326   1139.3771005026 1967.5277921580
MAT-327   354.8879493369 380.9643323806
MAT-328   448.2795149519 298.8530099679
MAT-329   2017.2578172834 1626.6226441368
MAT-330   2241.3975747593 442.0095625974
MAT-331   1531.6216760855 1538.4400285751
MAT-332   336.2096362139 366.0186912581
MAT-333   2166.6843222673 415.9857846559
MAT-334   448.2795149519 183.0093456291
MAT-335   336.2096362139 419.3270896148
MAT-336   1737.0831204384 1375.6168664269
MAT-337   280.1746968449 167.0639113922
MAT-338   1961.2228779144 1326.0286877922
MAT-339   2969.8517865561 1846.7931204754
MAT-340   280.1746968449 312.5479590619
MAT-341   317.5313230909 224.1397574759
MAT-342   560.3493936898 708.7921478217
MAT-343   2166.6843222673 298.8530099679
MAT-344   168.1048181069 247.7958253830
MAT-345   2091.9710697753 253.3649662566
MAT-346   1998.5795041604 1839.9797592350
MAT-347   317.5313230909 149.4265049840
MAT-348   373.5662624599 354.3960739108
MAT-349   2969.8517865561 1467.8825081732
MAT-350   672.4192724278 1207.0295338390
MAT-351   1774.4397466844 1417.5842956434
MAT-352   392.2445755829 321.3538498473
MAT-353   280.1746968449 236.2640492739
MAT-354   1606.3349285775 1564.5247642470
MAT-355   466.9578280749 264.1512374079
MAT-356   466.9578280749 264.1512374079
MAT-357   373.5662624599 118.1320246369
MAT-358   298.8530099679 298.8530099679
MAT-359   2129.3276960213 478.3982378888
MAT-360   1270.1252923636 1770.4045752278
MAT-361   392.2445755829 139.7756965383
MAT-362   261.4963837219 298.8530099679
MAT-363   2334.7891403743 566.5412876666
MAT-364   429.6012018289 253.3649662566
MAT-365   429.6012018289 253.3649662566
MAT-366   2278.7542010053 346.4311000841
MAT-367   392.2445755829 247.7958253830
MAT-368   2390.8240797432 904.3081716687
MAT-369   242.8180705989 366.0186912581
MAT-370   2017.2578172834 1487.7132767537
MAT-371   317.5313230909 402.3431779463
MAT-372   429.6012018289 303.4866662900
MAT-373   317.5313230909 366.0186912581
MAT-374   2260.0758878823 583.5291560614
MAT-375   2260.0758878823 139.7756965382
MAT-376   1811.7963729304 1542.9688580030
MAT-377   280.1746968449 409.2213373443
MAT-378   2409.5023928662 463.5835402280
MAT-379   2316.1108272513 298.8530099679
MAT-380   373.5662624599 442.0095625974
MAT-381   336.2096362139 91.5046728145
MAT-382   224.1397574759 481.3064606507
MAT-383   261.4963837219 321.3538498473
MAT-384   1718.4048073155 1080.1169614756
MAT-385   2129.3276960213 247.7958253830
MAT-386   597.7060199358 1033.9083246369
MAT-387   336.2096362139 190.4821661903
MAT-388   1681.0481810695 1764.0873219872
MAT-389   2204.0409485133 733.9412540866
MAT-390   317.5313230909 253.3649662566
MAT-391   2185.3626353903 2518.7343381741
MAT-392   1830.4746860534 1161.0641363207
MAT-393   317.5313230909 419.3270896148
MAT-394   504.3144543208 481.3064606507
MAT-395   1568.9783023315 1409.6868286478
MAT-396   205.4614443529 321.3538498473
MAT-397   205.4614443529 321.3538498473
MAT-398   261.4963837219 247.7958253830
MAT-399   1923.8662516684 1111.9480773361
MAT-40   373.5662624599 391.7996014458
MAT-41   2260.0758878823 321.3538498473
MAT-42   354.8879493369 298.8530099679
MAT-43   336.2096362139 253.3649662566
MAT-44   298.8530099679 415.9857846559
MAT-45   448.2795149519 398.8596216603
MAT-46   1643.6915548235 1873.7988396831
MAT-47   1643.6915548235 1873.7988396831
MAT-48   2222.7192616363 830.2925129702
MAT-49   336.2096362139 253.3649662566
MAT-50   242.8180705989 224.1397574759
MAT-51   2708.3554028341 1304.8108598064
MAT-52   410.9228887059 481.3064606507
MAT-53   1568.9783023315 1705.3616980047
MAT-54   485.6361411978 217.8246905941
MAT-55   298.8530099679 362.1859291874
MAT-56   448.2795149519 274.5140184436
MAT-57   2670.9987765882 1136.7714051958
MAT-58   2951.1734734331 1350.0169950686
MAT-59   298.8530099679 217.8246905941
MAT-60   1961.2228779144 1163.4655124876
MAT-61   2054.6144435293 118.1320246369
MAT-62   410.9228887059 384.6100071438
MAT-63   317.5313230909 303.4866662900
MAT-64   2316.1108272513 183.0093456291
MAT-65   2596.2855240962 778.2381419754
MAT-66   373.5662624599 312.5479590619
MAT-67   242.8180705989 224.1397574759
MAT-68   2839.1035946951 2627.2094846225
MAT-69   392.2445755829 448.2795149519
MAT-70   336.2096362139 366.0186912581
MAT-71   2614.9638372192 487.0708153462
MAT-72   317.5313230909 149.4265049840
MAT-73   317.5313230909 346.4311000841
MAT-74   1326.1602317326 1749.7901156180
MAT-75   336.2096362139 253.3649662566
MAT-76   821.8457774117 1647.0841106616
MAT-77   392.2445755829 139.7756965383
MAT-78   354.8879493369 398.8596216603
MAT-79   1942.5445647914 1129.3816969373
MAT-400   2185.3626353903 190.4821661903
MAT-401   2222.7192616363 2328.1301649800
MAT-402   168.1048181069 247.7958253830
MAT-403   2540.2505847272 1285.4153993893
MAT-404   317.5313230909 402.3431779463
MAT-405   317.5313230909 536.1684530475
MAT-406   298.8530099679 217.8246905941
MAT-407   2316.1108272513 183.0093456291
MAT-408   354.8879493369 247.7958253830
MAT-409   429.6012018289 325.6675173558
MAT-410   429.6012018289 325.6675173558
MAT-411   410.9228887059 481.3064606507
MAT-412   485.6361411978 463.5835402280
MAT-413   485.6361411978 463.5835402280
MAT-414   2110.6493828983 384.6100071438
MAT-415   2185.3626353903 1430.3246802357
MAT-416   298.8530099679 362.1859291874
MAT-417   2670.9987765882 1259.0901110771
MAT-418   1998.5795041604 1184.8589070557
MAT-419   2502.8939584812 795.9679366124
MAT-420   2054.6144435293 737.7342574045
MAT-421   354.8879493369 321.3538498473
MAT-422   186.7831312299 204.6106686722
MAT-423   2129.3276960213 183.0093456291
MAT-424   336.2096362139 303.4866662900
MAT-425   373.5662624599 264.1512374079
MAT-426   1512.9433629625 1835.4234672415
MAT-427   989.9505955187 1928.8467332243
MAT-428   373.5662624599 566.5412876666
MAT-429   336.2096362139 631.7578745073
MAT-430   373.5662624599 334.1278227843
MAT-431   2035.9361304064 1065.8101448798
MAT-432   2166.6843222673 1059.2431683442
MAT-433   317.5313230909 481.3064606507
MAT-434   242.8180705989 190.4821661903
MAT-435   242.8180705989 402.3431779463
MAT-436   1923.8662516684 1124.4282445675
MAT-437   2017.2578172834 1339.6400772164
MAT-438   242.8180705989 346.4311000841
MAT-439   261.4963837219 139.7756965383
MAT-440   354.8879493369 247.7958253830
MAT-441   429.6012018289 325.6675173558
MAT-442   1643.6915548235 1420.5345262969
MAT-443   410.9228887059 481.3064606507
MAT-444   485.6361411978 463.5835402280
MAT-445   2110.6493828983 190.4821661903
MAT-446   2166.6843222673 217.8246905941
MAT-447   1456.9084235935 1468.8329016093
MAT-448   336.2096362139 253.3649662566
MAT-449   298.8530099679 362.1859291874
MAT-450   1587.6566154545 1715.9667760939
MAT-451   429.6012018289 631.7578745073
MAT-452   317.5313230909 346.4311000841
MAT-453   2241.3975747593 167.0639113922
MAT-454   336.2096362139 149.4265049840
MAT-455   1998.5795041604 1099.3262373844
MAT-456   354.8879493369 321.3538498473
MAT-457   186.7831312299 204.6106686722
MAT-458   373.5662624599 236.2640492739
MAT-459   2353.4674534973 432.4342126620
MAT-460   429.6012018289 149.4265049840
MAT-461   635.0626461818 1171.8315766742
MAT-462   784.4891511658 1946.8501730987
MAT-463   429.6012018289 346.4311000841
MAT-464   765.8108380428 1296.2264846380
MAT-465   224.1397574759 190.4821661903
MAT-466   224.1397574759 190.4821661903
MAT-467   2652.3204634652 1464.0747650325
MAT-468   1456.9084235935 1510.9820217505
MAT-469   2091.9710697753 190.4821661903
MAT-470   1326.1602317326 1909.9431428703
MAT-471   1979.9011910374 741.5078587892
MAT-472   1045.9855348877 1634.3257147397
MAT-473   242.8180705989 402.3431779463
MAT-474   410.9228887059 481.3064606507
MAT-475   2670.9987765882 620.6148860261
MAT-476   261.4963837219 139.7756965383
MAT-477   373.5662624599 204.6106686722
MAT-478   2988.5300996791 2089.9688637944
MAT-479   392.2445755829 183.0093456291
MAT-480   354.8879493369 298.8530099679
MAT-481   336.2096362139 253.3649662566
MAT-482   392.2445755829 217.8246905941
MAT-483   2241.3975747593 514.9255573883
MAT-484   317.5313230909 279.5513930765
MAT-485   1793.1180598074 1312.2761238441
MAT-486   429.6012018289 509.4764563292
MAT-487   1979.9011910374 661.9611036062
MAT-488   2521.5722716042 1261.3048711196
MAT-489   1400.8734842246 1787.6619174399
MAT-490   448.2795149519 520.3175950798
MAT-491   261.4963837219 321.3538498473
MAT-492   261.4963837219 321.3538498473
MAT-493   336.2096362139 303.4866662900
MAT-494   298.8530099679 321.3538498473
MAT-495   3698.3059983528 2895.0782808141
MAT-496   1681.0481810695 2093.3048098342
MAT-497   485.6361411978 274.5140184436
MAT-498   2446.8590191122 1364.4120996457
MAT-499   1568.9783023315 1753.7732532911
MAT-500   336.2096362139 631.7578745073
MAT-501   2017.2578172834 149.4265049839
MAT-502   336.2096362139 253.3649662566
MAT-503   392.2445755829 217.8246905941
MAT-504   2316.1108272513 546.4803292336
MAT-505   354.8879493369 321.3538498473
MAT-506   691.0975855508 1118.2055723060
MAT-507   242.8180705989 190.4821661903
MAT-508   2129.3276960213 506.7299325131
MAT-509   2820.4252815721 2050.8753786591
