MAT-0   
MAT-1   5.4433189320 0.8111752869
MAT-2   0.6048132147 0.7559270436
MAT-3   1.6748673637 2.7350469519
MAT-4   1.0235300556 1.4594037857
MAT-5   5.1176502779 1.5289377265
MAT-6   0.4652409344 0.6579500391
MAT-7   2.3727287652 6.2515641540
MAT-8   0.6978614015 0.6579500391
MAT-9   0.6048132147 0.8111752869
MAT-10   1.5352950834 3.8432393143
MAT-11   1.5352950834 3.8432393143
MAT-12   2.8379696996 6.9469055958
MAT-13   2.8379696996 6.9469055958
MAT-14   7.8625717906 6.0688535532
MAT-15   0.7443854950 0.5425595016
MAT-16   4.3267406895 5.7479383039
MAT-17   1.1165782425 1.0771106353
MAT-18   1.3026746162 1.7307963247
MAT-19   0.6978614015 0.7784969850
MAT-20   2.4657769521 4.2903186082
MAT-21   5.9550839598 3.9212939168
MAT-22   1.2096264293 1.1915982012
MAT-23   10.7935896771 12.4162686108
MAT-24   5.6759393992 0.8628933867
MAT-25   0.9304818687 1.0609125602
MAT-26   0.9304818687 1.0609125602
MAT-27   0.7443854950 0.6837617380
MAT-28   0.9304818687 0.9758976170
MAT-29   9.0256741265 3.7265769801
MAT-30   5.5363671189 7.7089734926
MAT-31   1.1631023359 0.2942442027
MAT-32   0.7909095884 0.9579897173
MAT-33   0.6513373081 1.2273898826
MAT-34   2.6518733258 4.2497664826
MAT-35   1.1631023359 0.9758976170
MAT-36   9.2582945937 3.4740758946
MAT-37   0.6978614015 0.8322482841
MAT-38   9.0721982200 7.6673061041
MAT-39   0.9770059622 0.8004307690
MAT-120   0.9304818687 0.4161241421
MAT-121   0.8374336818 0.6310835077
MAT-122   0.8374336818 0.6310835077
MAT-123   1.5352950834 2.5071263726
MAT-124   0.6513373081 0.8004307690
MAT-125   7.3042826694 4.1046802611
MAT-126   0.7443854950 0.6172118466
MAT-127   3.6754033814 5.1421226507
MAT-128   3.6754033814 5.1421226507
MAT-129   1.1165782425 1.5680759174
MAT-130   1.2561505228 0.8111752869
MAT-131   11.1192583311 11.3937495326
MAT-132   0.5117650278 0.5425595016
MAT-133   8.3278127250 14.3348576278
MAT-134   1.3026746162 0.9579897173
MAT-135   12.2823606670 6.7059280212
MAT-136   2.2796805784 4.4759949950
MAT-137   0.6513373081 1.0361407578
MAT-138   1.0700541490 0.9579897173
MAT-139   0.5582891212 0.8111752869
MAT-140   0.6048132147 0.3721927475
MAT-141   0.6048132147 0.3721927475
MAT-142   0.7909095884 0.6310835077
MAT-143   0.7443854950 0.5425595016
MAT-144   1.3491987096 1.9826033760
MAT-145   1.0700541490 1.1988420260
MAT-146   1.0235300556 1.1243055197
MAT-147   2.0935842046 5.3613845288
MAT-148   0.6978614015 0.2942442027
