MAT-0   
MAT-1   2185.3626353903 325.6675173558
MAT-2   242.8180705989 303.4866662900
MAT-3   672.4192724278 1098.0560737744
MAT-4   410.9228887059 585.9157883371
MAT-5   2054.6144435293 613.8320060165
MAT-6   186.7831312299 264.1512374079
MAT-7   952.5939692727 2509.8538016215
MAT-8   280.1746968449 264.1512374079
MAT-9   242.8180705989 325.6675173558
MAT-10   616.3843330588 1542.9688580030
MAT-11   616.3843330588 1542.9688580030
MAT-12   1139.3771005026 2789.0167947621
MAT-13   1139.3771005026 2789.0167947621
MAT-14   3156.6349177860 2436.4998561765
MAT-15   298.8530099679 217.8246905941
MAT-16   1737.0831204384 2307.6600428627
MAT-17   448.2795149519 432.4342126621
MAT-18   522.9927674438 694.8734154297
MAT-19   280.1746968449 312.5479590619
MAT-20   989.9505955187 1722.4605240904
MAT-21   2390.8240797432 1574.3059180098
MAT-22   485.6361411978 478.3982378888
MAT-23   4333.3686445346 4984.8355079114
MAT-24   2278.7542010053 346.4311000841
MAT-25   373.5662624599 425.9310721029
MAT-26   373.5662624599 425.9310721029
MAT-27   298.8530099679 274.5140184436
MAT-28   373.5662624599 391.7996014458
MAT-29   3623.5927458609 1496.1317152142
MAT-30   2222.7192616363 3094.9688670563
MAT-31   466.9578280749 118.1320246369
MAT-32   317.5313230909 384.6100071438
MAT-33   261.4963837219 492.7677437292
MAT-34   1064.6638480107 1706.1798135221
MAT-35   466.9578280749 391.7996014458
MAT-36   3716.9843114758 1394.7585558542
MAT-37   280.1746968449 334.1278227843
MAT-38   3642.2710589838 3078.2404050424
MAT-39   392.2445755829 321.3538498473
MAT-120   373.5662624599 167.0639113922
MAT-121   336.2096362139 253.3649662566
MAT-122   336.2096362139 253.3649662566
MAT-123   616.3843330588 1006.5514009599
MAT-124   261.4963837219 321.3538498473
MAT-125   2932.4951603101 1647.9311583446
MAT-126   298.8530099679 247.7958253830
MAT-127   1475.5867367165 2064.4395171013
MAT-128   1475.5867367165 2064.4395171013
MAT-129   448.2795149519 629.5450555385
MAT-130   504.3144543208 325.6675173558
MAT-131   4464.1168363956 4574.3185024755
MAT-132   205.4614443529 217.8246905941
MAT-133   3343.4180490159 5755.1032072472
MAT-134   522.9927674438 384.6100071438
MAT-135   4931.0746644704 2692.2700500065
MAT-136   915.2373430267 1797.0051618324
MAT-137   261.4963837219 415.9857846559
MAT-138   429.6012018289 384.6100071438
MAT-139   224.1397574759 325.6675173558
MAT-140   242.8180705989 149.4265049840
MAT-141   242.8180705989 149.4265049840
MAT-142   317.5313230909 253.3649662566
MAT-143   298.8530099679 217.8246905941
MAT-144   541.6710805668 795.9679366124
MAT-145   429.6012018289 481.3064606507
MAT-146   410.9228887059 451.3818323487
MAT-147   840.5240905347 2152.4679280495
MAT-148   280.1746968449 118.1320246369
MAT-149   317.5313230909 253.3649662566
MAT-150   2390.8240797432 609.2681359733
MAT-151   392.2445755829 595.3666527599
MAT-152   3530.2011802459 1971.0709749167
MAT-153   373.5662624599 1139.2239892877
MAT-154   2540.2505847272 1207.0295338390
MAT-155   317.5313230909 190.4821661903
MAT-156   224.1397574759 149.4265049840
MAT-157   242.8180705989 149.4265049840
MAT-158   186.7831312299 0.0000049202
MAT-159   5360.6758662993 1622.3273563538
MAT-160   560.3493936898 425.9310721029
MAT-161   317.5313230909 190.4821661903
MAT-162   168.1048181069 298.8530099679
MAT-163   2035.9361304064 629.5450555385
MAT-164   298.8530099679 183.0093456291
MAT-165   4650.8999676255 4352.3275241329
MAT-166   485.6361411978 380.9643323806
MAT-167   448.2795149519 398.8596216603
MAT-168   504.3144543208 149.4265049840
MAT-169   261.4963837219 247.7958253830
MAT-170   317.5313230909 402.3431779463
MAT-171   242.8180705989 346.4311000841
MAT-172   1811.7963729304 3363.3413525027
MAT-173   579.0277068128 1328.1318273973
MAT-174   1811.7963729304 3319.4888722985
MAT-175   1699.7264941925 4804.9393258435
MAT-176   336.2096362139 435.6493811881
MAT-177   2577.6072109732 3640.3069118531
MAT-178   336.2096362139 253.3649662566
MAT-179   1027.3072217647 1699.6238629999
MAT-180   354.8879493369 139.7756965383
MAT-181   298.8530099679 217.8246905941
MAT-182   336.2096362139 279.5513930765
MAT-183   392.2445755829 217.8246905941
MAT-184   504.3144543208 190.4821661903
MAT-185   280.1746968449 236.2640492739
MAT-186   261.4963837219 398.8596216603
MAT-187   560.3493936898 487.0708153462
MAT-188   392.2445755829 398.8596216603
MAT-189   709.7758986738 2208.7845674920
MAT-190   709.7758986738 2208.7845674920
MAT-191   1232.7686661176 2300.9983676410
MAT-192   448.2795149519 432.4342126621
MAT-193   3231.3481702780 2947.6248247407
MAT-194   298.8530099679 217.8246905941
MAT-195   1905.1879385454 1086.5577875622
MAT-196   747.1325249198 1720.0282416004
MAT-197   1681.0481810695 3393.0840804466
MAT-198   317.5313230909 466.5841122662
MAT-199   635.0626461818 1177.7709536814
MAT-200   280.1746968449 312.5479590619
MAT-201   280.1746968449 312.5479590619
MAT-202   317.5313230909 303.4866662900
MAT-203   280.1746968449 312.5479590619
MAT-204   1961.2228779144 1955.4329487563
MAT-205   354.8879493369 217.8246905941
MAT-206   261.4963837219 74.7132524920
MAT-207   336.2096362139 279.5513930765
MAT-208   2652.3204634652 1605.0312614384
MAT-209   522.9927674438 573.8833816882
MAT-210   410.9228887059 495.5916507659
MAT-211   224.1397574759 253.3649662566
MAT-212   653.7409593048 1063.1882217325
MAT-213   448.2795149519 247.7958253830
MAT-214   298.8530099679 74.7132524920
MAT-215   392.2445755829 448.2795149519
MAT-216   336.2096362139 325.6675173558
MAT-217   485.6361411978 321.3538498473
MAT-218   3604.9144327379 1801.6586141515
MAT-219   298.8530099679 183.0093456291
MAT-220   2017.2578172834 1635.1793714784
MAT-221   280.1746968449 204.6106686722
MAT-222   280.1746968449 204.6106686722
MAT-223   4034.5156345667 247.7958253830
MAT-224   224.1397574759 279.5513930765
MAT-225   2876.4602209411 1672.3089185503
MAT-226   2110.6493828983 561.5932340520
MAT-227   261.4963837219 380.9643323806
MAT-228   3847.7325033368 5004.1149526478
MAT-229   3081.9216652940 2812.9316315573
MAT-230   298.8530099679 217.8246905941
MAT-231   242.8180705989 346.4311000841
MAT-232   3474.1662408769 3302.2074338699
MAT-233   2185.3626353903 2892.6671216711
MAT-234   298.8530099679 398.8596216603
MAT-235   224.1397574759 190.4821661903
MAT-236   280.1746968449 409.2213373443
MAT-237   317.5313230909 384.6100071438
MAT-238   317.5313230909 384.6100071438
MAT-239   280.1746968449 334.1278227843
MAT-240   280.1746968449 312.5479590619
MAT-241   392.2445755829 321.3538498473
MAT-242   541.6710805668 969.8344247866
MAT-243   3156.6349177860 1781.4058635452
MAT-244   354.8879493369 342.3791349608
MAT-245   298.8530099679 298.8530099679
MAT-246   2222.7192616363 940.6158145183
MAT-247   280.1746968449 312.5479590619
MAT-248   261.4963837219 274.5140184436
MAT-249   429.6012018289 451.3818323487
MAT-250   261.4963837219 321.3538498473
MAT-251   1232.7686661176 2447.9281546090
MAT-252   317.5313230909 190.4821661903
MAT-253   3100.5999784170 2288.8365574910
MAT-254   373.5662624599 425.9310721029
MAT-255   373.5662624599 425.9310721029
MAT-256   2017.2578172834 653.4740717822
MAT-257   261.4963837219 217.8246905941
MAT-258   1979.9011910374 1110.6923478815
MAT-259   336.2096362139 190.4821661903
MAT-260   261.4963837219 321.3538498473
MAT-261   3866.4108164598 3489.5968131912
MAT-262   410.9228887059 451.3818323487
MAT-263   1214.0903529946 2449.6378008339
MAT-264   280.1746968449 289.3631826424
MAT-265   242.8180705989 224.1397574759
MAT-266   373.5662624599 514.9255573883
MAT-267   2390.8240797432 4976.4298437198
MAT-268   336.2096362139 190.4821661903
MAT-269   410.9228887059 384.6100071438
MAT-270   3250.0264834010 1999.1903836598
MAT-271   5659.5288762672 5171.7007719154
MAT-272   3903.7674427058 3177.2903191408
MAT-273   354.8879493369 247.7958253830
MAT-274   354.8879493369 247.7958253830
MAT-275   466.9578280749 236.2640492739
MAT-276   2278.7542010053 743.3874761489
MAT-277   205.4614443529 217.8246905941
MAT-278   2241.3975747593 354.3960739109
MAT-279   373.5662624599 264.1512374079
MAT-280   410.9228887059 346.4311000841
MAT-281   2895.1385340641 1470.7318460371
MAT-282   317.5313230909 224.1397574759
MAT-283   336.2096362139 325.6675173558
MAT-284   3903.7674427058 321.3538498473
MAT-285   280.1746968449 354.3960739108
MAT-286   3941.1240689518 3515.0977456918
MAT-287   186.7831312299 312.5479590619
MAT-288   280.1746968449 334.1278227843
MAT-289   5061.8228563314 3708.2920173916
MAT-290   205.4614443529 298.8530099679
MAT-291   280.1746968449 236.2640492739
MAT-292   336.2096362139 346.4311000841
MAT-293   3399.4529883849 5409.1053251253
MAT-294   2222.7192616363 3416.4467762240
MAT-295   2166.6843222673 298.8530099679
MAT-296   635.0626461818 1078.8241818843
MAT-297   354.8879493369 506.7299325131
MAT-298   317.5313230909 224.1397574759
MAT-299   261.4963837219 298.8530099679
MAT-300   261.4963837219 298.8530099679
MAT-301   597.7060199358 481.3064606507
MAT-302   635.0626461818 448.2795149519
MAT-303   1288.8036054866 1797.0051618324
MAT-304   410.9228887059 149.4265049840
MAT-305   2017.2578172834 522.9927674438
MAT-306   691.0975855508 1318.6412838620
MAT-307   410.9228887059 190.4821661903
MAT-308   224.1397574759 190.4821661903
MAT-309   354.8879493369 380.9643323806
MAT-310   317.5313230909 384.6100071438
MAT-311   280.1746968449 425.9310721029
MAT-312   1568.9783023315 1820.1534559265
MAT-313   2166.6843222673 492.7677437292
MAT-314   280.1746968449 264.1512374079
MAT-315   298.8530099679 362.1859291874
MAT-316   280.1746968449 354.3960739108
MAT-317   560.3493936898 899.6666961713
MAT-318   1158.0554136256 1726.5067136546
MAT-319   5005.7879169624 4689.1122950667
MAT-320   3025.8867259250 4296.1744353325
MAT-321   2278.7542010053 253.3649662566
MAT-322   952.5939692727 2230.1624284467
MAT-323   280.1746968449 334.1278227843
MAT-324   280.1746968449 334.1278227843
MAT-325   205.4614443529 217.8246905941
MAT-326   709.7758986738 1630.9066195413
MAT-327   317.5313230909 384.6100071438
MAT-328   1456.9084235935 1656.3778111085
MAT-329   336.2096362139 451.3818323487
MAT-330   317.5313230909 451.3818323487
MAT-331   504.3144543208 149.4265049840
MAT-332   205.4614443529 139.7756965383
MAT-333   1064.6638480107 1793.8961540336
MAT-334   261.4963837219 274.5140184436
MAT-335   336.2096362139 561.5932340520
MAT-336   317.5313230909 325.6675173558
MAT-337   373.5662624599 204.6106686722
MAT-338   1270.1252923636 1542.9688580030
MAT-339   2521.5722716042 2706.7447244860
MAT-340   280.1746968449 312.5479590619
MAT-341   3922.4457558288 1966.1087311785
MAT-342   3922.4457558288 1966.1087311785
MAT-343   429.6012018289 384.6100071438
MAT-344   298.8530099679 595.3666527599
MAT-345   373.5662624599 118.1320246369
MAT-346   2091.9710697753 934.6624900605
MAT-347   224.1397574759 91.5046728145
MAT-348   373.5662624599 354.3960739108
MAT-349   2334.7891403743 3275.9013665356
MAT-350   354.8879493369 342.3791349608
MAT-351   933.9156561497 1145.3324726967
MAT-352   280.1746968449 167.0639113922
MAT-353   2969.8517865561 3295.8623166891
