MAT-0   
MAT-1   97.5000000000 14.5296631451
MAT-2   10.8333333333 13.5400640077
MAT-3   30.0000000000 48.9897948557
MAT-4   18.3333333333 26.1406452356
MAT-5   91.6666666667 27.3861278753
MAT-6   8.3333333333 11.7851130198
MAT-7   42.5000000000 111.9771802149
MAT-8   12.5000000000 11.7851130198
MAT-9   10.8333333333 14.5296631451
MAT-10   27.5000000000 68.8395880935
MAT-11   27.5000000000 68.8395880935
MAT-12   50.8333333333 124.4320430329
MAT-13   50.8333333333 124.4320430329
MAT-14   140.8333333333 108.7044923941
MAT-15   13.3333333333 9.7182531581
MAT-16   77.5000000000 102.9563014099
MAT-17   20.0000000000 19.2930615047
MAT-18   23.3333333333 31.0017920629
MAT-19   12.5000000000 13.9443337756
MAT-20   44.1666666667 76.8476125560
MAT-21   106.6666666667 70.2376916857
MAT-22   21.6666666667 21.3437474581
MAT-23   193.3333333333 222.3985411623
MAT-24   101.6666666667 15.4560308258
MAT-25   16.6666666667 19.0029237517
MAT-26   16.6666666667 19.0029237517
MAT-27   13.3333333333 12.2474487139
MAT-28   16.6666666667 17.4801474695
MAT-29   161.6666666667 66.7499479817
MAT-30   99.1666666667 138.0821011814
MAT-31   20.8333333333 5.2704627669
MAT-32   14.1666666667 17.1593835683
MAT-33   11.6666666667 21.9848432638
MAT-34   47.5000000000 76.1212483111
MAT-35   20.8333333333 17.4801474695
MAT-36   165.8333333333 62.2271823420
MAT-37   12.5000000000 14.9071198500
MAT-38   162.5000000000 137.3357604964
MAT-39   17.5000000000 14.3372087784
MAT-120   16.6666666667 7.4535599250
MAT-121   15.0000000000 11.3038833052
MAT-122   15.0000000000 11.3038833052
MAT-123   27.5000000000 44.9073119510
MAT-124   11.6666666667 14.3372087784
MAT-125   130.8333333333 73.5224833337
MAT-126   13.3333333333 11.0554159679
MAT-127   65.8333333333 92.1050125310
MAT-128   65.8333333333 92.1050125310
MAT-129   20.0000000000 28.0871659106
MAT-130   22.5000000000 14.5296631451
MAT-131   199.1666666667 204.0833163196
MAT-132   9.1666666667 9.7182531581
MAT-133   149.1666666667 256.7640507894
MAT-134   23.3333333333 17.1593835683
MAT-135   220.0000000000 120.1156849782
MAT-136   40.8333333333 80.1734231387
MAT-137   11.6666666667 18.5592145428
MAT-138   19.1666666667 17.1593835683
MAT-139   10.0000000000 14.5296631451
MAT-140   10.8333333333 6.6666666667
MAT-141   10.8333333333 6.6666666667
MAT-142   14.1666666667 11.3038833052
MAT-143   13.3333333333 9.7182531581
MAT-144   24.1666666667 35.5121262544
MAT-145   19.1666666667 21.4734978779
MAT-146   18.3333333333 20.1384099560
MAT-147   37.5000000000 96.0324019393
MAT-148   12.5000000000 5.2704627669
MAT-149   14.1666666667 11.3038833052
MAT-150   106.6666666667 27.1825107172
MAT-151   17.5000000000 26.5622957508
MAT-152   157.5000000000 87.9393730552
MAT-153   16.6666666667 50.8265022733
MAT-154   113.3333333333 53.8516480713
MAT-155   14.1666666667 8.4983658560
MAT-156   10.0000000000 6.6666666667
MAT-157   10.8333333333 6.6666666667
MAT-158   8.3333333333 0.0000002195
MAT-159   239.1666666667 72.3801691687
MAT-160   25.0000000000 19.0029237517
MAT-161   14.1666666667 8.4983658560
MAT-162   7.5000000000 13.3333333333
MAT-163   90.8333333333 28.0871659106
MAT-164   13.3333333333 8.1649658093
MAT-165   207.5000000000 194.1791841459
MAT-166   21.6666666667 16.9967317120
MAT-167   20.0000000000 17.7951304201
MAT-168   22.5000000000 6.6666666667
MAT-169   11.6666666667 11.0554159679
MAT-170   14.1666666667 17.9505493571
MAT-171   10.8333333333 15.4560308258
MAT-172   80.8333333333 150.0555452713
MAT-173   25.8333333333 59.2546294488
MAT-174   80.8333333333 148.0990659435
MAT-175   75.8333333333 214.3724692108
MAT-176   15.0000000000 19.4365063162
MAT-177   115.0000000000 162.4123695344
MAT-178   15.0000000000 11.3038833052
MAT-179   45.8333333333 75.8287544405
MAT-180   15.8333333333 6.2360956446
MAT-181   13.3333333333 9.7182531581
MAT-182   15.0000000000 12.4721912892
MAT-183   17.5000000000 9.7182531581
MAT-184   22.5000000000 8.4983658560
MAT-185   12.5000000000 10.5409255339
MAT-186   11.6666666667 17.7951304201
MAT-187   25.0000000000 21.7306746840
MAT-188   17.5000000000 17.7951304201
MAT-189   31.6666666667 98.5449699940
MAT-190   31.6666666667 98.5449699940
MAT-191   55.0000000000 102.6590906296
MAT-192   20.0000000000 19.2930615047
MAT-193   144.1666666667 131.5083436305
MAT-194   13.3333333333 9.7182531581
MAT-195   85.0000000000 48.4767985742
MAT-196   33.3333333333 76.7390962215
MAT-197   75.0000000000 151.3825177049
MAT-198   14.1666666667 20.8166599947
MAT-199   28.3333333333 52.5462759014
MAT-200   12.5000000000 13.9443337756
MAT-201   12.5000000000 13.9443337756
MAT-202   14.1666666667 13.5400640077
MAT-203   12.5000000000 13.9443337756
MAT-204   87.5000000000 87.2416821887
MAT-205   15.8333333333 9.7182531581
MAT-206   11.6666666667 3.3333333333
MAT-207   15.0000000000 12.4721912892
MAT-208   118.3333333333 71.6085035298
MAT-209   23.3333333333 25.6038191596
MAT-210   18.3333333333 22.1108319357
MAT-211   10.0000000000 11.3038833052
MAT-212   29.1666666667 47.4341649025
MAT-213   20.0000000000 11.0554159679
MAT-214   13.3333333333 3.3333333333
MAT-215   17.5000000000 20.0000000000
MAT-216   15.0000000000 14.5296631451
MAT-217   21.6666666667 14.3372087784
MAT-218   160.8333333333 80.3810370119
MAT-219   13.3333333333 8.1649658093
MAT-220   90.0000000000 72.9535620941
MAT-221   12.5000000000 9.1287092918
MAT-222   12.5000000000 9.1287092918
MAT-223   180.0000000000 11.0554159679
MAT-224   10.0000000000 12.4721912892
MAT-225   128.3333333333 74.6100976187
MAT-226   94.1666666667 25.0554939640
MAT-227   11.6666666667 16.9967317120
MAT-228   171.6666666667 223.2586939952
MAT-229   137.5000000000 125.4990039801
MAT-230   13.3333333333 9.7182531581
MAT-231   10.8333333333 15.4560308258
MAT-232   155.0000000000 147.3280542041
MAT-233   97.5000000000 129.0564045507
