MAT-0   
MAT-1   5.2012269882 0.8111752869
MAT-2   0.3627212709 0.7559270436
MAT-3   1.4327754199 2.7350469519
MAT-4   0.7814381118 1.4594037857
MAT-5   4.8755583342 1.5289377265
MAT-6   0.2231489906 0.6579500391
MAT-7   2.1306368215 6.2515641540
MAT-8   0.4557694578 0.6579500391
MAT-9   0.3627212709 0.8111752869
MAT-10   1.2932031396 3.8432393143
MAT-11   1.2932031396 3.8432393143
MAT-12   2.5958777558 6.9469055958
MAT-13   2.5958777558 6.9469055958
MAT-14   7.6204798469 6.0688535532
MAT-15   0.5022935512 0.5425595016
MAT-16   4.0846487458 5.7479383039
MAT-17   0.8744862987 1.0771106353
MAT-18   1.0605826725 1.7307963247
MAT-19   0.4557694578 0.7784969850
MAT-20   2.2236850084 4.2903186082
MAT-21   5.7129920160 3.9212939168
MAT-22   0.9675344856 1.1915982012
MAT-23   10.5514977334 12.4162686108
MAT-24   5.4338474554 0.8628933867
MAT-25   0.6883899250 1.0609125602
MAT-26   0.6883899250 1.0609125602
MAT-27   0.5022935512 0.6837617380
MAT-28   0.6883899250 0.9758976170
MAT-29   8.7835821828 3.7265769801
MAT-30   5.2942751751 7.7089734926
MAT-31   0.9210103922 0.2942442027
MAT-32   0.5488176447 0.9579897173
MAT-33   0.4092453644 1.2273898826
MAT-34   2.4097813821 4.2497664826
MAT-35   0.9210103922 0.9758976170
MAT-36   9.0162026500 3.4740758946
MAT-37   0.4557694578 0.8322482841
MAT-38   8.8301062762 7.6673061041
MAT-39   0.7349140184 0.8004307690
MAT-120   0.6883899250 0.4161241421
MAT-121   0.5953417381 0.6310835077
MAT-122   0.5953417381 0.6310835077
MAT-123   1.2932031396 2.5071263726
MAT-124   0.4092453644 0.8004307690
MAT-125   7.0621907257 4.1046802611
MAT-126   0.5022935512 0.6172118466
MAT-127   3.4333114377 5.1421226507
MAT-128   3.4333114377 5.1421226507
MAT-129   0.8744862987 1.5680759174
MAT-130   1.0140585790 0.8111752869
MAT-131   10.8771663874 11.3937495326
MAT-132   0.2696730841 0.5425595016
MAT-133   8.0857207813 14.3348576278
MAT-134   1.0605826725 0.9579897173
MAT-135   12.0402687233 6.7059280212
MAT-136   2.0375886346 4.4759949950
