MAT-0   
MAT-1   93.1636815131 14.5296631451
MAT-2   6.4970148464 13.5400640077
MAT-3   25.6636815131 48.9897948557
MAT-4   13.9970148464 26.1406452356
MAT-5   87.3303481797 27.3861278753
MAT-6   3.9970148464 11.7851130198
MAT-7   38.1636815131 111.9771802149
MAT-8   8.1636815131 11.7851130198
MAT-9   6.4970148464 14.5296631451
MAT-10   23.1636815131 68.8395880935
MAT-11   23.1636815131 68.8395880935
MAT-12   46.4970148464 124.4320430329
MAT-13   46.4970148464 124.4320430329
MAT-14   136.4970148464 108.7044923941
MAT-15   8.9970148464 9.7182531581
MAT-16   73.1636815131 102.9563014099
MAT-17   15.6636815131 19.2930615047
MAT-18   18.9970148464 31.0017920629
MAT-19   8.1636815131 13.9443337756
MAT-20   39.8303481797 76.8476125560
MAT-21   102.3303481797 70.2376916857
MAT-22   17.3303481797 21.3437474581
MAT-23   188.9970148464 222.3985411623
MAT-24   97.3303481797 15.4560308258
MAT-25   12.3303481797 19.0029237517
MAT-26   12.3303481797 19.0029237517
MAT-27   8.9970148464 12.2474487139
MAT-28   12.3303481797 17.4801474695
MAT-29   157.3303481797 66.7499479817
MAT-30   94.8303481797 138.0821011814
MAT-31   16.4970148464 5.2704627669
MAT-32   9.8303481797 17.1593835683
MAT-33   7.3303481797 21.9848432638
MAT-34   43.1636815131 76.1212483111
MAT-35   16.4970148464 17.4801474695
MAT-36   161.4970148464 62.2271823420
MAT-37   8.1636815131 14.9071198500
MAT-38   158.1636815131 137.3357604964
MAT-39   13.1636815131 14.3372087784
MAT-120   12.3303481797 7.4535599250
MAT-121   10.6636815131 11.3038833052
MAT-122   10.6636815131 11.3038833052
MAT-123   23.1636815131 44.9073119510
MAT-124   7.3303481797 14.3372087784
MAT-125   126.4970148464 73.5224833337
MAT-126   8.9970148464 11.0554159679
MAT-127   61.4970148464 92.1050125310
MAT-128   61.4970148464 92.1050125310
MAT-129   15.6636815131 28.0871659106
MAT-130   18.1636815131 14.5296631451
MAT-131   194.8303481797 204.0833163196
MAT-132   4.8303481797 9.7182531581
MAT-133   144.8303481797 256.7640507894
MAT-134   18.9970148464 17.1593835683
MAT-135   215.6636815131 120.1156849782
MAT-136   36.4970148464 80.1734231387
MAT-137   7.3303481797 18.5592145428
MAT-138   14.8303481797 17.1593835683
MAT-139   5.6636815131 14.5296631451
MAT-140   6.4970148464 6.6666666667
MAT-141   6.4970148464 6.6666666667
MAT-142   9.8303481797 11.3038833052
MAT-143   8.9970148464 9.7182531581
MAT-144   19.8303481797 35.5121262544
MAT-145   14.8303481797 21.4734978779
MAT-146   13.9970148464 20.1384099560
MAT-147   33.1636815131 96.0324019393
MAT-148   8.1636815131 5.2704627669
MAT-149   9.8303481797 11.3038833052
MAT-150   102.3303481797 27.1825107172
MAT-151   13.1636815131 26.5622957508
MAT-152   153.1636815131 87.9393730552
MAT-153   12.3303481797 50.8265022733
MAT-154   108.9970148464 53.8516480713
MAT-155   9.8303481797 8.4983658560
MAT-156   5.6636815131 6.6666666667
MAT-157   6.4970148464 6.6666666667
MAT-158   3.9970148464 0.0000000000
MAT-159   234.8303481797 72.3801691687
MAT-160   20.6636815131 19.0029237517
MAT-161   9.8303481797 8.4983658560
MAT-162   3.1636815131 13.3333333333
MAT-163   86.4970148464 28.0871659106
MAT-164   8.9970148464 8.1649658093
MAT-165   203.1636815131 194.1791841459
MAT-166   17.3303481797 16.9967317120
MAT-167   15.6636815131 17.7951304201
MAT-168   18.1636815131 6.6666666667
MAT-169   7.3303481797 11.0554159679
MAT-170   9.8303481797 17.9505493571
MAT-171   6.4970148464 15.4560308258
MAT-172   76.4970148464 150.0555452713
MAT-173   21.4970148464 59.2546294488
MAT-174   76.4970148464 148.0990659435
MAT-175   71.4970148464 214.3724692108
MAT-176   10.6636815131 19.4365063162
MAT-177   110.6636815131 162.4123695344
MAT-178   10.6636815131 11.3038833052
MAT-179   41.4970148464 75.8287544405
MAT-180   11.4970148464 6.2360956446
MAT-181   8.9970148464 9.7182531581
MAT-182   10.6636815131 12.4721912892
MAT-183   13.1636815131 9.7182531581
MAT-184   18.1636815131 8.4983658560
MAT-185   8.1636815131 10.5409255339
MAT-186   7.3303481797 17.7951304201
MAT-187   20.6636815131 21.7306746840
MAT-188   13.1636815131 17.7951304201
MAT-189   27.3303481797 98.5449699940
MAT-190   27.3303481797 98.5449699940
MAT-191   50.6636815131 102.6590906296
MAT-192   15.6636815131 19.2930615047
MAT-193   139.8303481797 131.5083436305
MAT-194   8.9970148464 9.7182531581
MAT-195   80.6636815131 48.4767985742
MAT-196   28.9970148464 76.7390962215
MAT-197   70.6636815131 151.3825177049
MAT-198   9.8303481797 20.8166599947
MAT-199   23.9970148464 52.5462759014
MAT-200   8.1636815131 13.9443337756
MAT-201   8.1636815131 13.9443337756
MAT-202   9.8303481797 13.5400640077
MAT-203   8.1636815131 13.9443337756
MAT-204   83.1636815131 87.2416821887
MAT-205   11.4970148464 9.7182531581
MAT-206   7.3303481797 3.3333333333
MAT-207   10.6636815131 12.4721912892
MAT-208   113.9970148464 71.6085035298
MAT-209   18.9970148464 25.6038191596
MAT-210   13.9970148464 22.1108319357
MAT-211   5.6636815131 11.3038833052
MAT-212   24.8303481797 47.4341649025
MAT-213   15.6636815131 11.0554159679
MAT-214   8.9970148464 3.3333333333
MAT-215   13.1636815131 20.0000000000
MAT-216   10.6636815131 14.5296631451
MAT-217   17.3303481797 14.3372087784
MAT-218   156.4970148464 80.3810370119
MAT-219   8.9970148464 8.1649658093
MAT-220   85.6636815131 72.9535620941
MAT-221   8.1636815131 9.1287092918
MAT-222   8.1636815131 9.1287092918
MAT-223   175.6636815131 11.0554159679
MAT-224   5.6636815131 12.4721912892
MAT-225   123.9970148464 74.6100976187
MAT-226   89.8303481797 25.0554939640
MAT-227   7.3303481797 16.9967317120
MAT-228   167.3303481797 223.2586939952
MAT-229   133.1636815131 125.4990039801
MAT-230   8.9970148464 9.7182531581
MAT-231   6.4970148464 15.4560308258
MAT-232   150.6636815131 147.3280542041
MAT-233   93.1636815131 129.0564045507
MAT-234   8.9970148464 17.7951304201
MAT-235   5.6636815131 8.4983658560
MAT-236   8.1636815131 18.2574185835
MAT-237   9.8303481797 17.1593835683
MAT-238   9.8303481797 17.1593835683
MAT-239   8.1636815131 14.9071198500
MAT-240   8.1636815131 13.9443337756
MAT-241   13.1636815131 14.3372087784
MAT-242   19.8303481797 43.2691832858
MAT-243   136.4970148464 79.4774601171
MAT-244   11.4970148464 15.2752523165
MAT-245   8.9970148464 13.3333333333
MAT-246   94.8303481797 41.9655943734
MAT-247   8.1636815131 13.9443337756
MAT-248   7.3303481797 12.2474487139
MAT-249   14.8303481797 20.1384099560
MAT-250   7.3303481797 14.3372087784
MAT-251   50.6636815131 109.2143661694
MAT-252   9.8303481797 8.4983658560
MAT-253   133.9970148464 102.1164912136
MAT-254   12.3303481797 19.0029237517
MAT-255   12.3303481797 19.0029237517
MAT-256   85.6636815131 29.1547594742
MAT-257   7.3303481797 9.7182531581
MAT-258   83.9970148464 49.5535624911
MAT-259   10.6636815131 8.4983658560
MAT-260   7.3303481797 14.3372087784
MAT-261   168.1636815131 155.6884353088
MAT-262   13.9970148464 20.1384099560
MAT-263   49.8303481797 109.2906420717
MAT-264   8.1636815131 12.9099444874
MAT-265   6.4970148464 10.0000000000
MAT-266   12.3303481797 22.9734145868
MAT-267   102.3303481797 222.0235222774
MAT-268   10.6636815131 8.4983658560
MAT-269   13.9970148464 17.1593835683
MAT-270   140.6636815131 89.1939210684
MAT-271   248.1636815131 230.7355388511
MAT-272   169.8303481797 141.7548744998
MAT-273   11.4970148464 11.0554159679
MAT-274   11.4970148464 11.0554159679
MAT-275   16.4970148464 10.5409255339
MAT-276   97.3303481797 33.1662479036
MAT-277   4.8303481797 9.7182531581
MAT-278   95.6636815131 15.8113883008
MAT-279   12.3303481797 11.7851130198
MAT-280   13.9970148464 15.4560308258
MAT-281   124.8303481797 65.6167322834
MAT-282   9.8303481797 10.0000000000
MAT-283   10.6636815131 14.5296631451
MAT-284   169.8303481797 14.3372087784
MAT-285   8.1636815131 15.8113883008
MAT-286   171.4970148464 156.8261599493
