MAT-0   
MAT-1   0.00800 0.035637
MAT-2   0.00005 0.000317
MAT-3   -0.00253 0.010345
MAT-4   -0.00026 0.000937
MAT-5   -0.00568 0.058832
MAT-6   -nan nan
MAT-7   2.45592 9.823659
MAT-8   0.07152 0.286474
MAT-9   0.00010 0.000093
MAT-10   548.78365 2195.133715
MAT-11   548.78365 2195.133715
MAT-12   -2652.11067 12106.369539
MAT-13   -2652.11069 12106.369525
MAT-14   56.73878 139.771674
MAT-15   -0.00030 0.001277
MAT-16   983.03766 3931.955519
MAT-17   -0.00022 0.000935
MAT-18   0.28890 1.153484
MAT-19   0.15078 0.602717
MAT-20   0.22479 0.881492
MAT-21   36.93821 147.537098
MAT-22   -0.00004 0.000212
MAT-23   -nan nan
MAT-24   -0.05400 0.237951
MAT-25   -0.00124 0.005212
MAT-26   -0.00124 0.005212
MAT-27   0.46765 1.873396
MAT-28   0.00019 0.000618
MAT-29   -125.34567 1450.494509
MAT-30   1170.45305 6164.836522
MAT-31   -0.00069 0.002506
MAT-32   -nan nan
MAT-33   0.53393 2.135430
MAT-34   -0.00907 0.034895
MAT-35   0.00004 0.000420
MAT-36   27074.83584 91418.062052
MAT-37   -nan nan
MAT-38   8806.57494 30870.594638
MAT-39   -0.00025 0.001181
MAT-120   -0.00262 0.009912
MAT-121   0.00020 0.000713
MAT-122   0.00020 0.000713
MAT-123   0.14493 0.580070
MAT-124   -0.00008 0.000513
MAT-125   528.62897 2116.089941
MAT-126   0.28459 1.138268
MAT-127   0.00009 0.000868
MAT-128   0.00009 0.000868
MAT-129   -0.00117 0.003374
MAT-130   -0.00025 0.000617
MAT-131   12199.71123 29300.190523
MAT-132   -0.00015 0.000289
MAT-133   -1108.21160 4624.838961
MAT-134   -0.01549 0.054468
MAT-135   inf nan
MAT-136   -nan nan
MAT-137   0.00004 0.000127
MAT-138   0.00047 0.001686
MAT-139   -nan nan
MAT-140   0.00001 0.000168
MAT-141   0.00001 0.000168
MAT-142   0.08019 0.320370
MAT-143   -0.00203 0.008099
MAT-144   -0.00250 0.011046
MAT-145   -0.00001 0.000172
MAT-146   1.26977 5.080427
MAT-147   1.70938 6.841573
MAT-148   -0.00002 0.000174
MAT-149   -0.00001 0.000165
MAT-150   0.03124 0.094278
MAT-151   0.00265 0.010719
MAT-152   20190.17915 53505.138039
MAT-153   -nan nan
MAT-154   3.20729 12.799014
MAT-155   0.00004 0.000546
MAT-156   0.00002 0.000149
MAT-157   0.00003 0.000164
MAT-158   0.00004 0.000178
MAT-159   32015.16592 68654.152870
MAT-160   -0.00067 0.002968
MAT-161   0.00013 0.000561
MAT-162   -nan nan
MAT-163   0.02765 0.111733
MAT-164   0.00029 0.003887
MAT-165   7204.45933 12474.413619
MAT-166   0.00047 0.002105
MAT-167   0.00000 0.000150
MAT-168   -0.00484 0.023965
MAT-169   -0.00011 0.000248
MAT-170   -nan nan
MAT-171   -nan nan
MAT-172   964.42517 3807.082783
MAT-173   21.08346 84.334077
MAT-174   3202.52790 12179.804590
MAT-175   1770.05152 7042.601355
MAT-176   -nan nan
MAT-177   -201.91834 1107.434329
MAT-178   0.00004 0.000303
MAT-179   0.00027 0.002473
MAT-180   0.00006 0.000177
MAT-181   0.00003 0.000124
MAT-182   0.00011 0.000616
MAT-183   -0.00001 0.000143
MAT-184   -0.00040 0.004118
MAT-185   0.00005 0.000400
MAT-186   0.00077 0.003534
MAT-187   0.00021 0.000801
MAT-188   -0.00031 0.000988
MAT-189   -nan nan
MAT-190   -nan nan
MAT-191   4.85439 19.415537
MAT-192   -0.00015 0.000525
MAT-193   -3352.24882 11639.608464
MAT-194   0.00013 0.000386
MAT-195   0.00149 0.005060
MAT-196   68.85428 275.417378
MAT-197   2212.50147 8850.005085
MAT-198   0.00108 0.003923
MAT-199   -0.09983 0.449368
MAT-200   -0.00005 0.000351
MAT-201   -0.00005 0.000351
MAT-202   -0.00180 0.007064
MAT-203   -0.00006 0.000133
MAT-204   -0.46876 2.208824
MAT-205   0.00001 0.005930
MAT-206   0.00001 0.000265
MAT-207   -0.00000 0.000294
MAT-208   1.83488 5.799757
MAT-209   0.00008 0.000334
MAT-210   0.00022 0.000832
MAT-211   -nan nan
MAT-212   0.00002 0.000183
MAT-213   0.00012 0.000305
MAT-214   -0.00056 0.002525
MAT-215   0.00054 0.002329
MAT-216   0.00045 0.002648
MAT-217   -0.00037 0.001093
MAT-218   -4827.66122 17086.188193
MAT-219   -0.00004 0.000160
MAT-220   0.01805 0.083625
MAT-221   0.00193 0.007770
MAT-222   0.00193 0.007770
MAT-223   7278.15996 32035.764469
MAT-224   -0.00004 0.000351
MAT-225   120.41356 435.866556
MAT-226   -0.02199 0.233406
MAT-227   -nan nan
MAT-228   1890.35551 7189.091336
MAT-229   -nan nan
MAT-230   -0.00008 0.000248
MAT-231   -0.00015 0.000825
MAT-232   -1406.66752 17309.520771
MAT-233   -1120.03562 5552.207423
MAT-234   -0.00033 0.001693
MAT-235   0.20813 0.866651
MAT-236   -nan nan
MAT-237   0.00002 0.000179
MAT-238   0.00002 0.000179
MAT-239   0.00008 0.000061
MAT-240   -0.00001 0.000143
MAT-241   -0.00026 0.000600
MAT-242   -0.00003 0.000142
MAT-243   19420.18202 62674.718776
MAT-244   -0.00012 0.000214
MAT-245   -0.00014 0.000352
MAT-246   0.38595 1.028063
MAT-247   0.00002 0.000152
MAT-248   0.00006 0.000192
MAT-249   0.00020 0.000796
MAT-250   -nan nan
MAT-251   456.68831 1826.753863
MAT-252   -0.00010 0.000459
MAT-253   3864.39957 12464.376209
MAT-254   0.00010 0.000179
MAT-255   0.00010 0.000179
MAT-256   -0.00006 0.001941
MAT-257   0.00014 0.000991
MAT-258   0.00030 0.004096
MAT-259   0.00003 0.000257
MAT-260   -nan nan
MAT-261   -nan nan
MAT-262   -0.00045 0.001598
MAT-263   51.73532 206.944707
MAT-264   -nan nan
MAT-265   0.00002 0.000141
MAT-266   -nan nan
MAT-267   2244.29200 5572.324214
MAT-268   -0.00003 0.000446
MAT-269   0.00004 0.000181
MAT-270   -nan nan
MAT-271   inf nan
MAT-272   -nan nan
MAT-273   -0.00002 0.000345
MAT-274   -0.00002 0.000345
MAT-275   0.00201 0.005737
MAT-276   -0.18018 0.339748
MAT-277   0.00014 0.000926
MAT-278   -0.00643 0.050940
MAT-279   -0.00049 0.002088
MAT-280   0.00003 0.001352
MAT-281   1315.45452 3791.377720
MAT-282   0.00022 0.001664
MAT-283   0.40445 1.685865
MAT-284   1771.97507 3705.541392
MAT-285   0.00051 0.001258
MAT-286   inf nan
MAT-287   -nan nan
MAT-288   -nan nan
MAT-289   1325.45278 7175.044271
MAT-290   -nan nan
MAT-291   -0.00000 0.000185
MAT-292   -0.00033 0.001527
MAT-293   -3228.00907 15504.198850
MAT-294   -nan nan
MAT-295   -0.00266 0.009116
MAT-296   0.00514 0.020494
MAT-297   -nan nan
MAT-298   -0.00021 0.000684
MAT-299   -0.00003 0.000269
MAT-300   -0.00003 0.000269
MAT-301   0.26183 1.051657
MAT-302   0.26169 1.048670
MAT-303   0.08097 0.305458
MAT-304   0.00006 0.000211
MAT-305   -0.11005 0.381543
MAT-306   -0.00220 0.006142
MAT-307   0.00002 0.000276
MAT-308   0.00005 0.000084
MAT-309   0.00005 0.000146
MAT-310   0.00003 0.000256
MAT-311   -nan nan
MAT-312   -0.03660 0.239346
MAT-313   0.00979 0.038225
MAT-314   0.00004 0.000155
MAT-315   -nan nan
MAT-316   -nan nan
MAT-317   -0.00010 0.000209
MAT-318   0.01209 0.053756
MAT-319   3961.21873 11902.585692
MAT-320   851.90887 3262.839410
MAT-321   -0.00097 0.002973
MAT-322   604.59231 2418.369252
MAT-323   -0.00027 0.001000
MAT-324   -0.00027 0.001000
MAT-325   -0.00004 0.000223
MAT-326   757.79801 3031.191659
MAT-327   -0.00005 0.000273
MAT-328   0.00071 0.001319
MAT-329   -0.00054 0.002263
MAT-330   -nan nan
MAT-331   -0.00002 0.000384
MAT-332   0.00004 0.000146
MAT-333   -0.00632 0.031991
MAT-334   0.00002 0.000094
MAT-335   -nan nan
MAT-336   0.00011 0.000108
MAT-337   -0.00002 0.000106
MAT-338   -11.91212 47.604992
MAT-339   445.73530 1756.420154
MAT-340   -0.00067 0.003710
MAT-341   -2890.02671 18909.157299
MAT-342   -2890.02671 18909.157299
MAT-343   0.00029 0.000608
MAT-344   -nan nan
MAT-345   -0.00001 0.000096
MAT-346   0.00553 0.023407
MAT-347   -0.00004 0.000162
MAT-348   0.00019 0.000369
MAT-349   1722.28280 5490.540757
MAT-350   0.00008 0.000566
MAT-351   -0.00083 0.002274
MAT-352   -0.00003 0.000179
MAT-353   -12115.75663 82145.992367
MAT-354   0.00030 0.001236
MAT-355   0.00008 0.000054
MAT-356   46078.57337 219029.246739
MAT-357   0.00010 0.000456
MAT-358   -0.00006 0.000187
MAT-359   -0.18067 2.748782
MAT-360   -nan nan
MAT-361   0.52671 2.106812
MAT-362   0.52671 2.106812
MAT-363   566.62062 1640.820321
MAT-364   0.00329 0.012921
MAT-365   0.00329 0.012921
MAT-366   -0.00066 0.002076
MAT-367   -0.00019 0.000804
MAT-368   157.73444 2209.515913
MAT-369   0.00032 0.001025
MAT-370   0.00002 0.000089
MAT-371   -0.00019 0.000717
MAT-372   -0.00064 0.002150
MAT-373   0.00004 0.000180
MAT-374   0.12536 0.311319
MAT-375   2120.15561 8104.367101
MAT-376   0.00013 0.000488
MAT-377   0.00020 0.000529
MAT-378   -466.38535 2204.307127
MAT-379   -186.17462 780.526567
MAT-380   -0.00013 0.000504
MAT-381   0.00002 0.000187
MAT-382   614.87295 4083.652386
MAT-383   0.00021 0.000377
MAT-384   0.00020 0.000405
MAT-385   326.47381 956.584897
MAT-386   -0.00006 0.000305
MAT-387   -0.00024 0.000905
MAT-388   -0.00159 0.011452
MAT-389   -nan nan
MAT-390   0.00003 0.000204
MAT-391   -1125.86076 7451.679319
MAT-392   -0.00054 0.002501
MAT-393   -0.00005 0.000446
MAT-394   -0.00005 0.000446
MAT-395   -0.00221 0.007600
MAT-396   -nan nan
MAT-397   0.00013 0.000546
MAT-398   0.00013 0.000546
MAT-399   0.00004 0.000158
MAT-40   0.00511 0.036833
MAT-41   -0.00005 0.001163
MAT-42   0.00008 0.000115
MAT-43   -0.00002 0.000149
MAT-44   0.00036 0.001210
MAT-45   0.00034 0.001779
MAT-46   0.00009 0.000514
MAT-47   0.03174 0.141980
MAT-48   -nan nan
MAT-49   0.00001 0.000532
MAT-50   0.00001 0.000150
MAT-51   0.00207 0.007749
MAT-52   -nan nan
MAT-53   0.00056 0.002891
MAT-54   0.00030 0.001536
MAT-55   0.00030 0.001536
MAT-56   0.52892 2.117601
MAT-57   -609.02799 2431.230888
MAT-58   -0.00389 0.013377
MAT-59   -0.00001 0.000214
MAT-60   -nan nan
MAT-61   -219.95108 1223.589426
MAT-62   0.00228 0.008793
MAT-63   0.00021 0.000701
MAT-64   -0.02500 0.104750
MAT-65   0.59398 2.391976
MAT-66   0.00450 0.017887
MAT-67   0.00450 0.017887
MAT-68   -nan nan
MAT-69   0.00008 0.000426
MAT-70   0.00008 0.000426
MAT-71   0.00005 0.000387
MAT-72   -0.09377 0.370763
MAT-73   -0.00001 0.000261
MAT-74   6826.12820 23613.146162
MAT-75   2024.19514 7813.446587
MAT-76   0.00003 0.000186
MAT-77   -0.00167 0.010102
MAT-78   -0.00167 0.010102
MAT-79   0.23248 0.930011
MAT-400   -0.00028 0.000744
MAT-401   -403.95655 1774.473010
MAT-402   -nan nan
MAT-403   37.75003 150.289315
MAT-404   -nan nan
MAT-405   0.00056 0.002476
MAT-406   -0.00011 0.000471
MAT-407   0.00022 0.000607
MAT-408   0.00974 0.038778
MAT-409   0.00974 0.038778
MAT-410   -0.00006 0.000129
MAT-411   -0.00006 0.000129
MAT-412   0.00606 0.039454
MAT-413   0.04004 0.158905
MAT-414   0.00021 0.000843
MAT-415   -nan nan
MAT-416   -0.00002 0.000141
MAT-417   -0.00293 0.011862
MAT-418   1828.63273 11560.321366
MAT-419   -0.00149 0.005557
MAT-420   -0.00010 0.000560
MAT-421   -0.00000 0.000283
MAT-422   -0.00303 0.013107
MAT-423   -nan nan
MAT-424   -0.00011 0.001758
MAT-425   0.00022 0.001868
MAT-426   63.71020 255.825659
MAT-427   -nan nan
MAT-428   -nan nan
MAT-429   0.00021 0.000584
MAT-430   0.00021 0.000583
MAT-431   -nan nan
MAT-432   0.02547 0.099565
MAT-433   0.00019 0.000962
MAT-434   0.00062 0.002491
MAT-435   -0.00002 0.000298
MAT-436   96.83140 340.383109
MAT-437   0.00011 0.000395
MAT-438   -0.00000 0.000174
MAT-439   0.00001 0.000131
MAT-440   -0.00077 0.001521
MAT-441   0.00974 0.038778
MAT-442   -nan nan
MAT-443   -0.00006 0.000129
MAT-444   0.00606 0.039454
MAT-445   0.00025 0.001206
MAT-446   -0.00028 0.000910
MAT-447   -0.00034 0.001325
MAT-448   0.00035 0.001213
MAT-449   -0.00002 0.000141
