MAT-0   
MAT-1   4.8385057173 1.4233635617
MAT-2   0.6048132147 0.7559270436
MAT-3   5.7689875860 0.8004307690
MAT-4   1.0235300556 1.4594037857
MAT-5   5.1176502779 3.5186488976
MAT-6   0.9770059622 1.1546976324
MAT-7   5.2106984648 1.7307963247
MAT-8   0.7443854950 0.5425595016
MAT-9   0.5582891212 0.8628933867
MAT-10   0.6513373081 1.0361407578
MAT-11   0.5582891212 0.4744545206
MAT-12   1.3026746162 0.7559270436
MAT-13   0.8839577753 1.2273898826
MAT-14   5.6294153057 0.9934827724
MAT-15   5.5828912123 0.9758976170
MAT-16   3.5823551946 4.8759380749
MAT-17   5.2106984648 1.5458325789
MAT-18   3.8614997552 4.9113227050
MAT-19   4.3732647830 3.0493695243
MAT-20   0.7909095884 1.0444633072
MAT-21   5.2106984648 1.9650578683
MAT-22   0.9304818687 0.5884884053
MAT-23   6.0016080532 1.5402215529
MAT-24   5.8155116795 0.7784969850
MAT-25   0.9304818687 0.5096459088
MAT-26   0.9770059622 0.9934827724
MAT-27   2.3727287652 4.5049162198
MAT-28   0.8374336818 0.3721927475
MAT-29   6.9786140154 3.4440400926
MAT-30   5.3502707451 0.9758976170
MAT-31   5.4433189320 0.6310835077
MAT-32   0.6513373081 0.8004307690
MAT-33   1.1165782425 1.5954440553
MAT-34   4.0941202223 3.6348390215
MAT-35   1.1631023359 0.9758976170
MAT-36   1.1631023359 0.9758976170
MAT-37   1.1631023359 0.2942442027
MAT-38   4.9315539042 2.9039383582
MAT-39   0.7909095884 0.8628933867
MAT-120   4.4663129698 2.4335258607
MAT-121   0.4187168409 0.5425595016
MAT-122   0.8374336818 0.6310835077
MAT-123   5.4433189320 1.0444633072
MAT-124   0.6513373081 0.8004307690
MAT-125   5.2572225582 1.5175700021
MAT-126   0.7909095884 0.4744545206
MAT-127   4.0941202223 4.3003968899
MAT-128   5.5828912123 1.6644965682
MAT-129   1.0700541490 0.9579897173
MAT-130   1.4422468965 1.2621670154
MAT-131   6.0016080532 1.2273898826
MAT-132   1.1165782425 0.8528007192
MAT-133   3.2566865405 4.6337623373
MAT-134   0.7909095884 0.9579897173
MAT-135   5.1176502779 3.0719996643
MAT-136   5.4898430254 2.0512852139
MAT-137   0.8374336818 0.7559270436
MAT-138   1.1165782425 1.0361407578
MAT-139   0.5582891212 0.8111752869
MAT-140   0.5582891212 0.8111752869
MAT-141   0.6048132147 0.3721927475
MAT-142   0.6513373081 0.4558411587
MAT-143   0.8374336818 0.6310835077
MAT-144   3.8614997552 3.7288995587
