MAT-0   
MAT-1   1844.9557721049 571.4464985709
MAT-2   145.2292779124 303.4866662900
MAT-3   2218.5220345648 321.3538498473
MAT-4   313.3340960194 585.9157883371
MAT-5   1957.0256508428 1412.6535527191
MAT-6   294.6557828964 463.5835402280
MAT-7   1994.3822770888 694.8734154297
MAT-8   201.2642172814 217.8246905941
MAT-9   126.5509647894 346.4311000841
MAT-10   163.9075910354 415.9857846559
MAT-11   126.5509647894 190.4821661903
MAT-12   425.4039747573 303.4866662900
MAT-13   257.2991566504 492.7677437292
MAT-14   2162.4870951958 398.8596216603
MAT-15   2143.8087820728 391.7996014458
MAT-16   1340.6413177840 1957.5727629462
MAT-17   1994.3822770888 620.6148860261
MAT-18   1452.7111965220 1971.7788474391
MAT-19   1658.1726408749 1224.2490846613
MAT-20   219.9425304044 419.3270896148
MAT-21   1994.3822770888 788.9238340418
MAT-22   275.9774697734 236.2640492739
MAT-23   2311.9136001797 618.3621929809
MAT-24   2237.2003476878 312.5479590619
MAT-25   275.9774697734 204.6106686722
MAT-26   294.6557828964 398.8596216603
MAT-27   855.0051765862 1808.6163433373
MAT-28   238.6208435274 149.4265049840
MAT-29   2704.1581757626 1382.6998982212
MAT-30   2050.4172164578 391.7996014458
MAT-31   2087.7738427038 253.3649662566
MAT-32   163.9075910354 321.3538498473
MAT-33   350.6907222654 640.5327097017
MAT-34   1546.1027621370 1459.3011143558
MAT-35   369.3690353883 391.7996014458
MAT-36   369.3690353883 391.7996014458
MAT-37   369.3690353883 118.1320246369
MAT-38   1882.3123983509 1165.8619424468
MAT-39   219.9425304044 346.4311000841
MAT-120   1695.5292671209 977.0025520673
MAT-121   70.5160254204 217.8246905941
MAT-122   238.6208435274 253.3649662566
MAT-123   2087.7738427038 419.3270896148
MAT-124   163.9075910354 321.3538498473
MAT-125   2013.0605902118 609.2681359733
MAT-126   219.9425304044 190.4821661903
MAT-127   1546.1027621370 1726.5067136546
MAT-128   2143.8087820728 668.2556455687
MAT-129   332.0124091424 384.6100071438
MAT-130   481.4389141263 506.7299325131
MAT-131   2311.9136001797 492.7677437292
MAT-132   350.6907222654 342.3791349608
MAT-133   1209.8931259231 1860.3449843286
MAT-134   219.9425304044 384.6100071438
MAT-135   1957.0256508428 1233.3345457279
MAT-136   2106.4521558268 823.5420553308
MAT-137   238.6208435274 303.4866662900
MAT-138   350.6907222654 415.9857846559
MAT-139   126.5509647894 325.6675173558
MAT-140   126.5509647894 325.6675173558
MAT-141   145.2292779124 149.4265049840
MAT-142   163.9075910354 183.0093456291
MAT-143   238.6208435274 253.3649662566
MAT-144   1452.7111965220 1497.0641750836
MAT-145   1826.2774589819 1385.7244003365
MAT-146   275.9774697734 204.6106686722
MAT-147   2274.5569739337 384.6100071438
MAT-148   201.2642172814 380.9643323806
MAT-149   612.1871059873 1380.6798826821
MAT-150   107.8726516664 217.8246905941
MAT-151   257.2991566504 533.5593453351
MAT-152   2069.0955295808 463.5835402280
MAT-153   70.5160254204 362.1859291874
MAT-154   2069.0955295808 274.5140184436
MAT-155   350.6907222654 139.7756965383
MAT-156   2218.5220345648 274.5140184436
MAT-157   1359.3196309070 1774.3414370499
MAT-158   219.9425304044 279.5513930765
MAT-159   238.6208435274 303.4866662900
MAT-160   182.5859041584 0.0000000000
MAT-161   182.5859041584 0.0000000000
MAT-162   219.9425304044 190.4821661903
MAT-163   219.9425304044 346.4311000841
MAT-164   201.2642172814 183.0093456291
MAT-165   201.2642172814 183.0093456291
MAT-166   1975.7039639658 217.8246905941
MAT-167   406.7256616343 366.0186912581
MAT-168   425.4039747573 149.4265049840
MAT-169   350.6907222654 463.5835402280
MAT-170   182.5859041584 373.5662624599
MAT-171   182.5859041584 373.5662624599
MAT-172   2311.9136001797 821.8457774117
MAT-173   163.9075910354 321.3538498473
MAT-174   201.2642172814 183.0093456291
MAT-175   275.9774697734 204.6106686722
MAT-176   257.2991566504 298.8530099679
MAT-177   2143.8087820728 289.3631826424
MAT-178   219.9425304044 466.5841122662
MAT-179   1919.6690245969 1971.7788474391
MAT-180   257.2991566504 139.7756965383
MAT-181   1658.1726408749 1741.7965145863
MAT-182   275.9774697734 354.3960739108
MAT-183   1471.3895096450 1625.7644944363
MAT-184   1527.4244490140 1410.6764299130
MAT-185   182.5859041584 236.2640492739
MAT-186   238.6208435274 366.0186912581
MAT-187   182.5859041584 264.1512374079
MAT-188   1975.7039639658 895.0011503082
MAT-189   201.2642172814 274.5140184436
MAT-190   257.2991566504 183.0093456291
MAT-191   2069.0955295808 217.8246905941
MAT-192   294.6557828964 362.1859291874
MAT-193   201.2642172814 183.0093456291
MAT-194   294.6557828964 247.7958253830
MAT-195   2050.4172164578 1331.2803071077
MAT-196   350.6907222654 692.8622001682
MAT-197   182.5859041584 613.8320060165
MAT-198   219.9425304044 466.5841122662
MAT-199   1863.6340852279 289.3631826424
MAT-200   369.3690353883 334.1278227843
MAT-201   182.5859041584 312.5479590619
MAT-202   219.9425304044 303.4866662900
MAT-203   219.9425304044 303.4866662900
MAT-204   1508.7461358910 1928.1230990840
MAT-205   369.3690353883 264.1512374079
MAT-206   219.9425304044 303.4866662900
MAT-207   201.2642172814 274.5140184436
MAT-208   2218.5220345648 463.5835402280
MAT-209   294.6557828964 362.1859291874
MAT-210   294.6557828964 362.1859291874
MAT-211   294.6557828964 492.7677437292
MAT-212   1751.5642064899 1317.5825592562
MAT-213   369.3690353883 236.2640492739
MAT-214   1546.1027621370 1578.7318641003
MAT-215   238.6208435274 253.3649662566
