MAT-0   
MAT-1   -538.22709 1879.744112
MAT-2   0.00000 0.000000
MAT-3   -833.20828 3475.790718
MAT-4   0.00000 0.000000
MAT-5   486.32336 1235.263766
MAT-6   -nan nan
MAT-7   -3026.99592 12092.555928
MAT-8   0.00000 0.000000
MAT-9   0.00000 0.000000
MAT-10   0.01762 0.028137
MAT-11   0.00000 0.000000
MAT-12   0.18162 0.585734
MAT-13   1.81392 2.478346
MAT-14   -1120.65584 30966.704943
MAT-15   520.63872 2034.515647
MAT-16   -9303.21796 51063.995331
MAT-17   -730.28862 4024.746689
MAT-18   3827.17342 14292.370252
MAT-19   -nan nan
MAT-20   -nan nan
MAT-21   -5052.34808 15529.425109
MAT-22   0.00000 0.000000
MAT-23   -nan nan
MAT-24   -1519.13636 4741.234509
MAT-25   0.00000 0.000000
MAT-26   0.00000 0.000000
MAT-27   2064.43721 9266.823226
MAT-28   0.00000 0.000000
MAT-29   1434.89094 6337.000353
MAT-30   -nan nan
MAT-31   2821.19546 8780.553885
MAT-32   0.00000 0.000000
MAT-33   -nan nan
MAT-34   108.96010 633.984268
MAT-35   0.00000 0.000000
MAT-36   0.00000 0.000000
MAT-37   0.00000 0.000000
MAT-38   1016.87987 15008.356344
MAT-39   0.01995 0.024290
MAT-120   -nan nan
MAT-121   0.00000 0.000000
MAT-122   0.00000 0.000000
MAT-123   -nan nan
MAT-124   0.00000 0.000000
MAT-125   -nan nan
MAT-126   0.00000 0.000000
MAT-127   -179.11614 1090.342875
MAT-128   -792.77259 3795.308677
MAT-129   0.00000 0.000000
MAT-130   0.00000 0.000000
MAT-131   -75.35021 2051.468282
MAT-132   0.00000 0.000000
MAT-133   2952.69882 10523.389180
MAT-134   0.00640 0.094496
MAT-135   1177.75221 6112.413038
MAT-136   917.34467 2407.619663
MAT-137   -0.29945 1.945941
MAT-138   0.00000 0.000000
MAT-139   -nan nan
MAT-140   -nan nan
MAT-141   0.00000 0.000000
MAT-142   0.48713 1.956323
MAT-143   0.00000 0.000000
MAT-144   51.63677 297.994678
MAT-145   -8130.93056 42045.017035
MAT-146   0.00000 0.000000
MAT-147   188.71238 2421.712272
MAT-148   0.00000 0.000000
MAT-149   -22.54541 97.497534
MAT-150   0.09278 0.235635
MAT-151   -nan nan
MAT-152   923.50903 6691.054212
MAT-153   -nan nan
MAT-154   -206.42751 2879.316091
MAT-155   0.00000 0.000000
MAT-156   -717.53525 3031.518765
MAT-157   -6483.51453 24942.374566
MAT-158   0.00000 0.000000
MAT-159   -0.03711 0.319223
MAT-160   0.00000 0.000000
MAT-161   0.00000 0.000000
MAT-162   0.00000 0.000000
MAT-163   -nan nan
MAT-164   0.00000 0.000000
MAT-165   0.00000 0.000000
MAT-166   -397.89626 1251.563105
MAT-167   0.00000 0.000000
MAT-168   0.00000 0.000000
MAT-169   0.00000 0.000000
MAT-170   -nan nan
MAT-171   -nan nan
MAT-172   -25554.21099 111480.333922
MAT-173   0.00000 0.000000
MAT-174   1.46518 4.945464
MAT-175   0.00000 0.000000
MAT-176   0.00000 0.000000
MAT-177   694.04188 3094.281698
MAT-178   0.00000 0.000000
MAT-179   -652.78312 2431.605204
MAT-180   0.00000 0.000000
MAT-181   154.28839 389.144211
MAT-182   0.00000 0.000000
MAT-183   -675.23310 1750.166896
MAT-184   -244.53357 1497.287647
MAT-185   0.00000 0.000000
MAT-186   -0.02382 0.098037
MAT-187   0.00000 0.000000
MAT-188   1921.02623 5381.169096
MAT-189   0.00000 0.000000
MAT-190   0.00000 0.000000
MAT-191   5673.30986 16474.240979
MAT-192   0.70422 1.629896
MAT-193   0.00000 0.000000
MAT-194   0.00000 0.000000
MAT-195   319.02742 2475.267415
MAT-196   -nan nan
MAT-197   -nan nan
MAT-198   0.00000 0.000000
MAT-199   -30816.23168 144487.554351
MAT-200   0.00000 0.000000
MAT-201   0.00000 0.000000
MAT-202   0.00000 0.000000
MAT-203   0.00000 0.000000
MAT-204   515.99923 1664.820863
MAT-205   0.00000 0.000000
MAT-206   0.62236 2.769609
MAT-207   0.00000 0.000000
MAT-208   5348.44821 14342.131549
MAT-209   0.00000 0.000000
MAT-210   0.00000 0.000000
MAT-211   0.00000 0.000000
MAT-212   4374.24942 10918.259393
MAT-213   0.00000 0.000000
MAT-214   185.66470 1162.791834
MAT-215   1.16034 4.511094
MAT-216   0.00000 0.000000
MAT-217   -0.04581 0.339865
MAT-218   -70531.80022 258971.995858
MAT-219   0.00000 0.000000
MAT-220   -245.25008 915.774651
MAT-221   0.00000 0.000000
MAT-222   0.00000 0.000000
MAT-223   0.00000 0.000000
MAT-224   -749.21594 4511.715997
MAT-225   1618.12021 5198.798966
MAT-226   -nan nan
MAT-227   0.00000 0.000000
MAT-228   2.27223 6.106279
MAT-229   -nan nan
MAT-230   0.00000 0.000000
MAT-231   0.00000 0.000000
MAT-232   255.84363 626.678105
MAT-233   -1030.07838 2489.617650
MAT-234   0.00000 0.000000
MAT-235   0.59141 3344.960580
MAT-236   0.21311 0.720145
MAT-237   -nan nan
MAT-238   0.00000 0.000000
MAT-239   -805.18804 1962.838871
MAT-240   0.00000 0.000000
MAT-241   -19.71853 2038.478757
MAT-242   -nan nan
MAT-243   -32.45154 130.700141
MAT-244   0.00000 0.000000
MAT-245   0.00000 0.000000
MAT-246   3496.02707 11842.438341
MAT-247   68.42382 256.381914
MAT-248   38.22043 152.912339
MAT-249   -753.04457 9100.819457
MAT-250   0.00000 0.000000
MAT-251   -nan nan
MAT-252   0.00000 0.000000
MAT-253   -nan nan
MAT-254   0.00000 0.000000
MAT-255   -nan nan
MAT-256   2496.91090 22127.945894
MAT-257   0.00000 0.000000
MAT-258   498.50948 1043.325295
MAT-259   -nan nan
MAT-260   0.06912 0.300922
MAT-261   3656.19684 11653.080307
MAT-262   248.07716 1070.597784
MAT-263   -nan nan
MAT-264   -nan nan
MAT-265   -nan nan
MAT-266   3774.09261 20930.481190
MAT-267   -nan nan
MAT-268   2023.23149 5331.634031
MAT-269   2040.59249 15378.018858
MAT-270   6065.13050 27060.921126
MAT-271   37162.34371 143424.673135
MAT-272   8785.54472 25665.379915
MAT-273   0.00000 0.000000
MAT-274   0.00000 0.000000
MAT-275   0.16506 0.559757
MAT-276   -nan nan
MAT-277   396.66954 12885.011267
MAT-278   9436.36240 42504.477957
MAT-279   0.00000 0.000000
MAT-280   -nan nan
MAT-281   -497.62673 1013.039260
MAT-282   -0.00355 0.228620
MAT-283   -0.20139 0.512544
MAT-284   22.50226 1252.214594
MAT-285   -nan nan
MAT-286   708.45542 1873.078895
MAT-287   0.00012 0.000502
MAT-288   -7.70729 71.780517
MAT-289   6683.90865 26860.450574
MAT-290   0.04718 0.077201
MAT-291   0.00000 0.000000
MAT-292   -63.08289 291.903189
MAT-293   94.35752 737.853371
MAT-294   -0.08747 0.260208
MAT-295   105.64346 474.754258
MAT-296   0.52537 1.632247
MAT-297   0.15903 0.215702
MAT-298   -nan nan
MAT-299   -nan nan
MAT-300   0.00000 0.000000
MAT-301   -1551.90609 7355.944281
MAT-302   0.00000 0.000000
MAT-303   3118.99386 12387.627731
MAT-304   0.00000 0.000000
MAT-305   -1465.96857 7148.499889
MAT-306   -11340.71532 45455.165477
MAT-307   0.00000 0.000000
MAT-308   0.00000 0.000000
MAT-309   42.44703 80.206398
MAT-310   0.00000 0.000000
MAT-311   0.00000 0.000000
MAT-312   -14.23907 1117.373578
MAT-313   -515.29841 1817.796661
MAT-314   0.00000 0.000000
MAT-315   1070.60264 8086.967006
MAT-316   -nan nan
MAT-317   229.53089 904.714974
MAT-318   -nan nan
MAT-319   626.51959 2375.883781
MAT-320   -1975.10072 11020.362431
MAT-321   -704.31160 2650.147801
MAT-322   -12453.23662 65063.292800
MAT-323   -143.14154 586.409189
MAT-324   0.00000 0.000000
MAT-325   0.00000 0.000000
MAT-326   -158.13177 2370.848211
MAT-327   0.00000 0.000000
MAT-328   0.36805 0.902645
MAT-329   -1279.00660 4411.702443
MAT-330   -nan nan
MAT-331   -5234.18906 12631.630783
MAT-332   0.00000 0.000000
MAT-333   3480.13024 8325.362314
MAT-334   -0.05572 0.285011
MAT-335   -nan nan
MAT-336   471.30250 1988.844323
MAT-337   0.00000 0.000000
MAT-338   402.49905 1493.909673
MAT-339   7387.40605 42959.902309
MAT-340   0.00000 0.000000
MAT-341   0.00000 0.000000
MAT-342   0.00000 0.000000
MAT-343   -5958.51629 46429.608246
MAT-344   -nan nan
MAT-345   4681.34455 16202.190753
MAT-346   326.71438 27746.348753
MAT-347   0.00000 0.000000
MAT-348   0.00000 0.000000
MAT-349   -1425.58918 2812.352923
MAT-350   -nan nan
MAT-351   -10373.25211 27576.023924
MAT-352   0.00000 0.000000
MAT-353   0.01787 0.095627
MAT-354   82.55482 215.271923
MAT-355   0.00000 0.000000
MAT-356   -0.00047 0.003199
MAT-357   0.00000 0.000000
MAT-358   0.00000 0.000000
MAT-359   14025.98909 58940.334397
MAT-360   -1152.60742 2860.571039
MAT-361   0.00000 0.000000
MAT-362   0.00000 0.000000
MAT-363   2311.45184 5318.146436
MAT-364   0.00000 0.000000
MAT-365   0.00000 0.000000
MAT-366   -3255.50610 14657.749308
MAT-367   0.00000 0.000000
MAT-368   -709.14058 14894.756548
MAT-369   -nan nan
MAT-370   -931.24870 2896.101867
MAT-371   -nan nan
MAT-372   25.05253 98.535212
MAT-373   0.00000 0.000000
MAT-374   -1302.26122 4829.545560
MAT-375   1087.31321 8234.372189
MAT-376   -389.18054 1143.692670
MAT-377   0.00000 0.000000
MAT-378   -1731.06424 5375.069073
MAT-379   1200.71912 1957.850279
MAT-380   -nan nan
MAT-381   0.02483 0.239821
MAT-382   -nan nan
MAT-383   0.00000 0.000000
