MAT-0   
MAT-1   1403.52300 7842.700155
MAT-2   0.00000 0.000000
MAT-3   1499.87131 5990.314395
MAT-4   0.00000 0.000000
MAT-5   -4439.55231 8898.387601
MAT-6   -nan nan
MAT-7   85.48675 342.454466
MAT-8   0.00000 0.000000
MAT-9   0.00000 0.000000
MAT-10   0.01174 0.011344
MAT-11   0.00000 0.000000
MAT-12   0.07205 0.184336
MAT-13   0.23594 0.521097
MAT-14   8376.96539 37619.923961
MAT-15   -0.03613 0.105433
MAT-16   11527.38991 45399.717286
MAT-17   0.03172 0.084867
MAT-18   1.68025 4.968207
MAT-19   0.05773 0.331640
MAT-20   37.64281 435.692118
MAT-21   610.84624 1762.516937
MAT-22   0.00000 0.000000
MAT-23   -nan nan
MAT-24   -4220.10748 18932.143238
MAT-25   0.00000 0.000000
MAT-26   0.00000 0.000000
MAT-27   0.49477 2.125711
MAT-28   0.00000 0.000000
MAT-29   -1968.36142 8353.902580
MAT-30   2569.47216 22824.295121
MAT-31   0.35188 0.746274
MAT-32   -nan nan
MAT-33   0.02724 0.186973
MAT-34   66.74642 2345.621887
MAT-35   0.00000 0.000000
MAT-36   0.00000 0.000000
MAT-37   -nan nan
MAT-38   1372.22831 2559.131550
MAT-39   0.01494 0.018288
MAT-120   0.47367 1.336021
MAT-121   0.00000 0.000000
MAT-122   0.00000 0.000000
MAT-123   1100.18034 4399.610990
MAT-124   0.00000 0.000000
MAT-125   -47.09489 1485.970230
MAT-126   0.00000 0.000000
MAT-127   -761.42153 5216.674907
MAT-128   -859.89191 5891.318304
MAT-129   0.00000 0.000000
MAT-130   0.00000 0.000000
MAT-131   -0.31459 1.946911
MAT-132   0.00000 0.000000
MAT-133   2901.95027 7082.681500
MAT-134   -0.00142 0.014038
MAT-135   -inf nan
MAT-136   -nan nan
MAT-137   -0.03657 0.146897
MAT-138   0.00000 0.000000
MAT-139   -nan nan
MAT-140   0.00000 0.000000
MAT-141   0.00000 0.000000
MAT-142   0.02261 0.009243
MAT-143   0.00000 0.000000
MAT-144   2.24215 8.754534
MAT-145   10.36058 40.526355
MAT-146   0.00000 0.000000
MAT-147   128.60190 508.536082
MAT-148   0.00000 0.000000
MAT-149   0.40648 1.653655
MAT-150   1827.02585 8138.747892
MAT-151   0.00000 0.000000
MAT-152   -2592.26271 6378.610035
MAT-153   -nan nan
MAT-154   585.06391 2368.246873
MAT-155   0.00000 0.000000
MAT-156   0.32052 1.056374
MAT-157   0.04358 0.664695
MAT-158   0.00000 0.000000
MAT-159   40.35380 2140.540415
MAT-160   0.00000 0.000000
MAT-161   0.00000 0.000000
MAT-162   -nan nan
MAT-163   62.89092 158.430844
MAT-164   0.00000 0.000000
MAT-165   0.00000 0.000000
MAT-166   0.64987 2.575591
MAT-167   0.00000 0.000000
MAT-168   0.00000 0.000000
MAT-169   0.00000 0.000000
MAT-170   -nan nan
MAT-171   -nan nan
MAT-172   406.69406 1978.333156
MAT-173   0.00000 0.000000
MAT-174   0.53468 2.078582
MAT-175   0.00000 0.000000
MAT-176   -nan nan
MAT-177   1692.82801 5656.762288
MAT-178   0.00000 0.000000
MAT-179   -3447.15108 15950.586125
MAT-180   0.00000 0.000000
MAT-181   0.02409 0.081559
MAT-182   0.00000 0.000000
MAT-183   0.08348 0.188797
MAT-184   1.34228 4.258383
MAT-185   0.00000 0.000000
MAT-186   0.02100 0.055965
MAT-187   0.00000 0.000000
MAT-188   0.52851 2.455379
MAT-189   -nan nan
MAT-190   -nan nan
MAT-191   24366.72433 102604.399483
MAT-192   0.00532 0.049872
MAT-193   0.00000 0.000000
MAT-194   0.00000 0.000000
MAT-195   -8518.54104 33832.173340
MAT-196   4401.46202 17597.958224
MAT-197   -0.20839 0.566164
MAT-198   0.00000 0.000000
MAT-199   426.22110 1705.013547
MAT-200   0.00000 0.000000
MAT-201   0.00000 0.000000
MAT-202   0.00000 0.000000
MAT-203   0.00000 0.000000
MAT-204   -3568.45466 12889.443828
MAT-205   0.00000 0.000000
MAT-206   0.03283 0.200574
MAT-207   0.00000 0.000000
MAT-208   -19264.62105 69705.801886
MAT-209   0.00000 0.000000
MAT-210   0.00000 0.000000
MAT-211   -nan nan
MAT-212   1232.97271 4929.338315
MAT-213   0.00000 0.000000
MAT-214   0.18014 0.326786
MAT-215   0.00880 0.008977
MAT-216   0.00000 0.000000
MAT-217   0.00968 0.043252
MAT-218   -792.80410 4096.435401
MAT-219   0.00000 0.000000
MAT-220   282.99865 1477.985921
MAT-221   0.00000 0.000000
MAT-222   0.00000 0.000000
MAT-223   0.00000 0.000000
MAT-224   0.09422 0.737572
MAT-225   288.74215 668.539660
MAT-226   3107.12756 9303.485720
MAT-227   -nan nan
MAT-228   -10839.33928 42090.602490
MAT-229   -nan nan
MAT-230   0.00000 0.000000
MAT-231   0.00000 0.000000
MAT-232   -327.35186 2607.875085
MAT-233   -14413.66938 60520.220192
MAT-234   0.00000 0.000000
MAT-235   0.00633 0.054939
MAT-236   -nan nan
MAT-237   0.00000 0.000000
MAT-238   0.00000 0.000000
MAT-239   -0.02527 0.089765
MAT-240   0.00000 0.000000
MAT-241   0.04723 0.148529
MAT-242   233.85245 933.388700
MAT-243   1149.82933 3374.400898
MAT-244   0.00000 0.000000
MAT-245   0.00000 0.000000
MAT-246   -3580.34174 24730.991705
MAT-247   0.01207 0.019797
MAT-248   0.04923 0.176297
MAT-249   0.19410 0.753232
MAT-250   -nan nan
MAT-251   427.40298 1623.236842
MAT-252   0.00000 0.000000
MAT-253   21138.88447 82039.260546
MAT-254   0.00000 0.000000
MAT-255   0.00000 0.000000
MAT-256   5171.07726 16815.728242
MAT-257   0.00000 0.000000
MAT-258   16139.78119 42450.653516
MAT-259   0.00000 0.000000
MAT-260   -nan nan
MAT-261   -nan nan
MAT-262   0.23073 0.567615
MAT-263   982.59102 3798.074814
MAT-264   -nan nan
MAT-265   0.00000 0.000000
MAT-266   -nan nan
MAT-267   69.69827 225.140598
MAT-268   0.10612 0.299890
MAT-269   0.02184 0.174305
MAT-270   -nan nan
MAT-271   -inf nan
MAT-272   -nan nan
MAT-273   0.00000 0.000000
MAT-274   0.00000 0.000000
MAT-275   0.07654 0.266816
MAT-276   5253.17723 22058.611131
MAT-277   -0.00632 0.142911
MAT-278   -709.71485 3098.462366
MAT-279   0.00000 0.000000
MAT-280   0.00000 0.000000
MAT-281   1780.62114 6707.325374
MAT-282   0.00185 0.033111
MAT-283   -0.08461 0.194254
MAT-284   1.26302 4.337816
MAT-285   0.86572 3.259901
MAT-286   -nan nan
MAT-287   -nan nan
MAT-288   -nan nan
MAT-289   3.21961 10.904743
MAT-290   -nan nan
MAT-291   0.00000 0.000000
MAT-292   -0.00529 0.209775
MAT-293   -0.00331 0.030462
MAT-294   -nan nan
MAT-295   2437.64928 7307.312314
MAT-296   1095.64638 4381.178787
MAT-297   -nan nan
MAT-298   0.00000 0.000000
MAT-299   0.00000 0.000000
MAT-300   0.00000 0.000000
MAT-301   -0.01838 0.177532
MAT-302   0.00000 0.000000
MAT-303   2285.17682 8757.731641
MAT-304   0.00000 0.000000
MAT-305   90.13165 2621.724076
MAT-306   1064.06938 4255.414007
MAT-307   0.00000 0.000000
MAT-308   0.00000 0.000000
MAT-309   15.00945 59.861742
MAT-310   0.00000 0.000000
MAT-311   -nan nan
MAT-312   -1428.22512 4424.019459
MAT-313   203.25351 1499.049706
MAT-314   0.00000 0.000000
MAT-315   -nan nan
MAT-316   -nan nan
MAT-317   11.45704 45.274235
MAT-318   636.48053 1405.029236
MAT-319   1624.07706 4422.204632
MAT-320   -11664.26609 55153.297508
MAT-321   -6989.30333 131742.576964
MAT-322   -0.33753 0.766000
MAT-323   0.14369 0.398376
MAT-324   0.00000 0.000000
MAT-325   0.00000 0.000000
MAT-326   0.07274 0.405837
MAT-327   0.00000 0.000000
MAT-328   138.95904 2282.251805
MAT-329   2.32359 6.133835
MAT-330   -nan nan
MAT-331   0.14944 0.683446
MAT-332   0.00000 0.000000
MAT-333   -4342.39692 19241.599376
MAT-334   0.10809 0.340455
MAT-335   -nan nan
MAT-336   1.33795 5.247763
MAT-337   0.00000 0.000000
MAT-338   41.67672 4295.271241
MAT-339   8371.47931 13227.316849
MAT-340   0.00000 0.000000
MAT-341   0.00000 0.000000
MAT-342   0.00000 0.000000
MAT-343   0.27752 0.535239
MAT-344   -nan nan
MAT-345   0.05438 0.194201
MAT-346   1943.47387 5993.499174
MAT-347   0.00000 0.000000
MAT-348   0.00000 0.000000
MAT-349   7796.76613 30392.331610
MAT-350   0.12825 0.368513
MAT-351   -1783.20740 7796.184345
MAT-352   0.00000 0.000000
MAT-353   -0.00418 0.011075
MAT-354   165.06316 660.312940
MAT-355   0.00000 0.000000
MAT-356   0.00101 0.001428
MAT-357   0.00000 0.000000
MAT-358   0.00000 0.000000
MAT-359   14123.33647 137840.195724
MAT-360   -nan nan
MAT-361   0.00000 0.000000
MAT-362   0.00000 0.000000
MAT-363   235.33585 668.776279
MAT-364   0.00000 0.000000
MAT-365   0.00000 0.000000
MAT-366   -72786.88766 239185.707518
MAT-367   0.00000 0.000000
MAT-368   -4165.27120 17601.174323
MAT-369   0.00000 0.000000
MAT-370   0.13899 0.408246
MAT-371   1.08687 3.594610
MAT-372   0.00612 0.083235
MAT-373   0.00000 0.000000
MAT-374   -5066.82736 20266.874112
MAT-375   0.02748 0.331187
MAT-376   0.00116 0.073206
MAT-377   0.00000 0.000000
MAT-378   -2362.58940 16335.739890
MAT-379   2392.38331 6302.588788
MAT-380   0.00000 0.000000
MAT-381   0.79955 2.691422
MAT-382   0.00000 0.000000
MAT-383   0.00000 0.000000
MAT-384   -0.00352 0.175410
MAT-385   1167.46153 2926.855324
MAT-386   -0.02203 0.038862
MAT-387   0.00000 0.000000
MAT-388   379.39223 1476.966321
MAT-389   -nan nan
MAT-390   0.00000 0.000000
MAT-391   2647.12929 11328.809144
MAT-392   0.46204 1.027886
MAT-393   0.00000 0.000000
MAT-394   -0.00543 0.012313
MAT-395   78718.01399 197631.125329
MAT-396   -nan nan
MAT-397   0.00000 0.000000
MAT-398   0.00000 0.000000
MAT-399   -0.09443 0.314029
MAT-40   162.22986 1564.269358
MAT-41   0.56987 0.910711
MAT-42   0.00000 0.000000
MAT-43   0.03426 0.338332
MAT-44   0.00000 0.000000
MAT-45   0.00481 0.129896
MAT-46   0.16085 0.183482
MAT-47   5009.41486 23019.955725
MAT-48   -nan nan
MAT-49   0.00000 0.000000
MAT-50   0.00000 0.000000
MAT-51   0.48214 0.727799
MAT-52   -nan nan
MAT-53   0.14755 0.517356
MAT-54   0.00006 0.000107
MAT-55   0.00000 0.000000
MAT-56   0.00000 0.000000
MAT-57   5460.88146 26734.812330
MAT-58   1.67285 5.113158
MAT-59   0.00000 0.000000
MAT-60   -nan nan
MAT-61   4965.08893 19919.058575
MAT-62   0.00000 0.000000
MAT-63   0.00000 0.000000
MAT-64   -536.47850 8904.638855
MAT-65   5817.50977 16834.001767
MAT-66   0.00000 0.000000
MAT-67   0.02499 0.111572
MAT-68   -nan nan
MAT-69   0.00000 0.000000
MAT-70   0.00000 0.000000
MAT-71   40.49904 161.677855
MAT-72   21.20985 595.585318
MAT-73   0.00000 0.000000
MAT-74   0.57798 2.023442
MAT-75   0.00000 0.000000
MAT-76   -0.07406 0.128922
MAT-77   0.00000 0.000000
MAT-78   0.00000 0.000000
MAT-79   0.00134 0.058187
MAT-400   0.12590 0.368917
MAT-401   4147.30177 6773.988519
MAT-402   -nan nan
MAT-403   997.34425 2579.526508
MAT-404   -nan nan
MAT-405   142.60408 560.957622
MAT-406   0.00000 0.000000
MAT-407   38.58534 612.334817
MAT-408   0.00000 0.000000
MAT-409   0.00000 0.000000
MAT-410   0.00000 0.000000
MAT-411   0.00000 0.000000
MAT-412   0.00000 0.000000
MAT-413   0.00000 0.000000
MAT-414   0.14494 0.363859
MAT-415   -nan nan
MAT-416   0.00000 0.000000
MAT-417   0.97459 3.204809
MAT-418   0.42901 1.454128
MAT-419   -2063.85337 8314.050599
MAT-420   0.85287 3.045070
MAT-421   0.00000 0.000000
MAT-422   0.00000 0.000000
MAT-423   -nan nan
MAT-424   0.00000 0.000000
MAT-425   0.00000 0.000000
MAT-426   10856.13397 34296.921430
MAT-427   -nan nan
MAT-428   -nan nan
MAT-429   0.00000 0.000000
MAT-430   0.01836 0.120990
MAT-431   -nan nan
MAT-432   1775.63052 6976.557385
MAT-433   0.03234 0.121007
MAT-434   0.00000 0.000000
MAT-435   0.00000 0.000000
MAT-436   2747.01276 6826.742050
MAT-437   1.15202 3.217551
MAT-438   0.00000 0.000000
MAT-439   0.00000 0.000000
MAT-440   0.00000 0.000000
MAT-441   0.00000 0.000000
MAT-442   -nan nan
MAT-443   0.00000 0.000000
MAT-444   0.00000 0.000000
MAT-445   0.07116 0.597332
MAT-446   0.35952 1.440400
MAT-447   1.00083 3.056018
MAT-448   0.00000 0.000000
MAT-449   0.00000 0.000000
MAT-450   2570.51905 5601.737273
MAT-451   -0.00188 0.071908
MAT-452   0.00000 0.000000
MAT-453   12.83122 59.433090
MAT-454   0.00000 0.000000
MAT-455   1906.05570 6962.052482
MAT-456   0.00000 0.000000
MAT-457   0.00000 0.000000
MAT-458   79.84069 317.704268
MAT-459   996.88332 2492.167609
MAT-460   0.11503 0.274967
MAT-461   3211.52406 12604.505119
MAT-462   3638.88760 14370.322002
MAT-463   0.00000 0.000000
MAT-464   3861.56503 13887.091709
MAT-465   0.00000 0.000000
MAT-466   -nan nan
MAT-467   -nan nan
MAT-468   -0.18016 0.641661
MAT-469   0.76720 2.673479
MAT-470   24.92725 99.630923
MAT-471   -1949.35161 4860.125171
MAT-472   -0.00964 0.016972
MAT-473   0.00000 0.000000
MAT-474   0.00000 0.000000
MAT-475   2453.44840 4936.613688
MAT-476   0.00000 0.000000
MAT-477   0.00000 0.000000
MAT-478   -120.94204 669.242524
MAT-479   0.00000 0.000000
MAT-480   0.00000 0.000000
MAT-481   0.00000 0.000000
MAT-482   0.03790 0.276949
MAT-483   936.76061 3747.537698
MAT-484   -nan nan
MAT-485   1.18720 4.901516
MAT-486   -nan nan
MAT-487   1.31073 3.718758
MAT-488   3319.11217 8073.229086
MAT-489   -nan nan
MAT-490   773.19038 2779.974962
MAT-491   -nan nan
MAT-492   0.00000 0.000000
MAT-493   0.00000 0.000000
MAT-494   0.00000 0.000000
MAT-495   -17402.09031 53063.162243
MAT-496   17386.56521 61585.060003
MAT-497   0.00000 0.000000
MAT-498   -4618.34209 35626.857641
MAT-499   0.47014 1.109542
MAT-500   0.00000 0.000000
MAT-501   162.67257 650.812305
MAT-502   0.00000 0.000000
MAT-503   0.06615 0.139200
MAT-504   -nan nan
MAT-505   0.00000 0.000000
MAT-506   -0.01498 0.084632
MAT-507   0.00000 0.000000
MAT-508   -437.96676 2157.689731
MAT-509   2.15189 6.107678
MAT-510   0.00000 0.000000
MAT-511   -0.00852 0.060378
MAT-512   -1908.27402 102874.234042
MAT-513   -nan nan
MAT-514   5365.58658 31111.454018
MAT-515   -nan nan
MAT-516   0.00000 0.000000
MAT-517   530.29617 2101.828703
MAT-518   0.00000 0.000000
MAT-519   0.00000 0.000000
MAT-520   -0.00379 0.030673
MAT-521   0.00000 0.000000
MAT-522   0.00000 0.000000
MAT-523   0.27900 0.945001
MAT-524   0.00284 0.099809
